RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S
1,0,08793,Tiger Woods,4000,6,14
86,0,26695,Michael Letzig,697,0,2,6499
87,0,20593,Greg Chalmers,696,0,2,6500
88,0,25818,Scott Piercy,683,0,2,6513
89,0,01948,Tim Petrovic,655,0,4,6541
90,0,24503,Jeff Klauk,645,0,2,6551
91,0,26420,Richard Johnson,599,0,2,6597
92,0,20572,Rod Pampling,592,0,2,6604
93,0,21959,Ted Purdy,580,0,1,6616
94,0,26301,James Nitties,560,0,2,6636
95,0,26679,Kevin Stadler,557,0,1,6639
96,0,23788,D.J. Trahan,549,0,2,6647
97,0,20850,Daniel Chopra,549,0,2,6647
98,0,12652,Cameron Beckman,521,0,2,6675
99,0,22348,Nick O'Hern,512,0,1,6684
100,0,21350,Ryuji Imada,504,0,6692
101,0,24357,K.J. Choi,492,0,1,6704
102,0,22621,Ben Curtis,491,0,1,6705
103,0,20127,Chris Riley,489,0,1,6707
104,0,21805,Harrison Frazar,483,0,6713
105,0,24490,George McNeill,480,0,1,6716
106,0,20070,Matt Bettencourt,463,0,2,6733
107,0,23548,Bill Lunde,444,0,1,6752
108,0,06197,Michael Allen,440,0,1,6756
109,0,24358,Robert Garrigus,433,0,1,6763
110,0,24502,Adam Scott,432,0,1,6764
111,0,22371,Aaron Baddeley,431,0,2,6765
112,0,23409,James Driscoll,428,0,1,6768
113,0,25190,Jeff Quinney,425,0,2,6771
114,0,12782,Tim Herron,421,0,6775
115,0,23325,Vaughn Taylor,416,0,1,6780
116,0,20472,Alex Cejka,416,0,2,6780
117,0,01161,Mark Calcavecchia,411,0,3,6785
118,0,06251,Chris DiMarco,391,0,6805
119,0,07457,Steve Flesch,389,0,2,6807
120,0,27963,Chris Stroud,379,0,1,6817
121,0,21949,Joe Ogilvie,377,0,1,6819
122,0,22961,David Mathis,377,0,6819
123,0,01473,Todd Hamilton,369,0,1,6827
124,0,26287,Roland Thatcher,364,0,2,6832
125,0,01724,Jeff Maggert,363,0,2,6833
126,0,26300,Matt Jones,353,0,2,6843
127,0,20104,Ken Duke,352,0,6844
128,0,23614,Rich Beem,347,0,1,6849
129,0,01928,Corey Pavin,334,0,6862
130,0,02256,Tom Watson,330,0,1,6866
131,0,23349,Charles Warren,330,0,6866
132,0,25562,Andres Romero,329,0,1,6867
133,0,01797,Rocco Mediate,327,0,1,6869
134,0,23320,Ryan Palmer,324,0,1,6872
135,0,12705,Cliff Kresge,319,0,1,6877
136,0,28620,Aron Price,317,0,1,6879
137,0,23638,Brendon de Jonge,315,0,2,6881
138,0,28780,Nicholas Thompson,315,0,6881
139,0,01116,Michael Bradley,306,1,1,6890
140,0,01035,Tommy Armour III,302,0,1,6894
141,0,20098,Stuart Appleby,302,0,1,6894
142,0,24846,Ricky Barnes,300,0,1,6896
143,0,27466,Spencer Levin,295,0,1,6901
144,0,24912,Will MacKenzie,292,0,2,6904
145,0,12602,Dean Wilson,291,0,6905
146,0,27936,Martin Laird,289,0,1,6907
147,0,01677,Tom Lehman,285,0,1,6911
148,0,25632,Jimmy Walker,284,0,1,6912
149,0,09011,David Duval,274,0,1,6922
150,0,08931,Glen Day,273,0,6923
