RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S
1,0,24924,Bill Haas,2760,1,7
53,0,23320,Ryan Palmer,1159,0,3,4102
54,0,27064,Jhonattan Vegas,1149,1,2,4112
55,0,10885,Robert Allenby,1146,0,3,4115
56,0,25240,D.A. Points,1140,1,3,4121
57,0,30692,Scott Stallings,1125,1,2,4136
58,0,24140,Sean O'Hair,1102,1,1,4159
59,0,12510,Chad Campbell,1076,0,1,4185
60,0,23638,Brendon de Jonge,1024,0,3,4237
61,0,27963,Chris Stroud,1013,0,2,4248
62,0,30750,Tommy Gainey,1009,0,6,4252
63,0,33419,Cameron Tringale,1002,0,4,4259
64,0,29910,Blake Adams,985,0,4,4276
65,0,26851,Marc Leishman,947,0,2,4314
66,0,25562,Andres Romero,939,0,4,4322
67,0,06522,Ernie Els,924,0,4337
68,0,24490,George McNeill,889,0,4,4372
69,0,25818,Scott Piercy,885,1,2,4376
70,0,26951,Johnson Wagner,842,1,1,4419
71,0,25396,Kevin Na,778,0,5,4483
72,0,27214,Kevin Streelman,770,0,3,4491
73,0,25572,Graeme McDowell,765,0,3,4496
74,0,24358,Robert Garrigus,759,0,3,4502
75,0,24361,Pat Perez,751,0,4,4510
76,0,23353,J.J. Henry,739,0,1,4522
77,0,21805,Harrison Frazar,713,1,1,4548
78,0,20160,Charlie Wi,711,0,1,4550
79,0,29718,Anthony Kim,702,0,2,4559
80,0,28087,Kris Blanks,694,0,2,4567
81,0,20593,Greg Chalmers,692,0,2,4569
82,0,19846,Brian Gay,685,0,3,4576
83,0,31202,William McGirt,674,0,4587
84,0,32366,Kevin Chappell,673,0,2,4588
85,0,23548,Bill Lunde,668,0,4593
86,0,27141,J.B. Holmes,640,0,4,4621
87,0,24138,Ian Poulter,639,0,1,4622
88,0,22378,Trevor Immelman,638,0,4623
89,0,20766,Padraig Harrington,625,0,3,4636
90,0,28475,Jeff Overton,619,0,3,4642
91,0,21350,Ryuji Imada,617,0,2,4644
92,0,22913,John Rollins,616,0,2,4645
93,0,02239,Scott Verplank,588,0,3,4673
94,0,11123,Chris Couch,573,0,3,4688
95,0,01706,Davis Love III,565,0,2,4696
96,0,23541,Ben Crane,561,0,2,4700
97,0,24846,Ricky Barnes,556,0,2,4705
98,0,20229,Stewart Cink,556,0,1,4705
99,0,27120,Troy Matteson,547,0,2,4714
100,0,27933,John Merrick,535,0,1,4726
101,0,23800,Bryce Molder,523,0,4,4738
102,0,27330,Josh Teater,513,0,1,4748
103,0,24604,Hunter Haas,499,0,3,4762
104,0,06251,Chris DiMarco,499,0,4762
105,0,06643,Paul Goydos,474,0,3,4787
106,0,23788,D.J. Trahan,474,0,1,4787
107,0,22348,Nick O'Hern,463,0,2,4798
108,0,20070,Matt Bettencourt,461,0,2,4800
109,0,21407,Arjun Atwal,459,0,1,4802
110,0,12782,Tim Herron,456,0,2,4805
111,0,01116,Michael Bradley,454,1,1,4807
112,0,20157,Retief Goosen,444,0,1,4817
113,0,26679,Kevin Stadler,444,0,1,4817
114,0,08725,Tom Gillis,431,0,2,4830
115,0,32150,Michael Thompson,413,0,1,4848
116,0,23325,Vaughn Taylor,397,0,4864
117,0,22293,Heath Slocum,388,0,4873
118,0,20098,Stuart Appleby,387,0,1,4874
119,0,20572,Rod Pampling,385,0,2,4876
120,0,21949,Joe Ogilvie,379,0,1,4882
121,0,26758,David Hearn,377,0,1,4884
122,0,01766,Billy Mayfair,353,0,1,4908
123,0,23409,James Driscoll,353,0,2,4908
124,0,07457,Steve Flesch,352,0,1,4909
125,0,25274,Steven Bowditch,347,0,1,4914
126,0,10860,Justin Leonard,328,0,4933
127,0,26300,Matt Jones,328,0,1,4933
128,0,01948,Tim Petrovic,326,0,4935
129,0,22961,David Mathis,326,0,1,4935
130,0,12652,Cameron Beckman,324,0,4937
131,0,12602,Dean Wilson,318,0,4943
132,0,08793,Tiger Woods,318,0,2,4943
133,0,22621,Ben Curtis,304,0,4957
134,0,20472,Alex Cejka,303,0,4958
135,0,26287,Roland Thatcher,302,0,2,4959
136,0,28486,Michael Putnam,300,0,4961
137,0,23135,Tim Clark,299,0,1,4962
138,0,06004,Stephen Ames,298,0,2,4963
139,0,10733,Kent Jones,297,0,4964
140,0,20127,Chris Riley,292,0,1,4969
141,0,31401,Zack Miller,290,0,1,4971
142,0,23497,Tag Ridings,286,0,4975
143,0,24507,Jason Bohn,284,0,4977
144,0,25364,Paul Casey,280,0,4981
145,0,27939,Matt McQuillan,280,0,2,4981
146,0,28620,Aron Price,272,0,4989
147,0,20436,Garrett Willis,270,0,1,4991
148,0,26329,Louis Oosthuizen,267,0,1,4994
149,0,06621,Joe Durant,260,0,5001
150,0,01320,Bob Estes,258,0,1,5003
