"playerId","title","value"
"01001","Events Played","625"
"01001","PGA TOUR WINS","2"
"01001","International Wins","0"
"01001","Cuts Made","480/625"
"01001","Runner Up","13"
"01001","Third Place Finishes","15"
"01001","Top 5 Finishes","56"
"01001","Top 10 Finishes","106"
"01001","Year Joined Tour","1961"
"01001","Official Money","$925,061"
"66415","Events Played","1"
"66415","PGA TOUR WINS","0"
"66415","International Wins","0"
"66415","Cuts Made","0/1"
"66415","Runner Up","0"
"66415","Third Place Finishes","0"
"66415","Top 5 Finishes","0"
"66415","Top 10 Finishes","0"
"66415","Year Joined Tour","-"
"66415","Official Money","$0"
"12855","Events Played","92"
"12855","PGA TOUR WINS","0"
"12855","International Wins","0"
"12855","Cuts Made","66/92"
"12855","Runner Up","0"
"12855","Third Place Finishes","0"
"12855","Top 5 Finishes","1"
"12855","Top 10 Finishes","6"
"12855","Year Joined Tour","-"
"12855","Official Money","$48,708"
"12856","Events Played","31"
"12856","PGA TOUR WINS","1"
"12856","International Wins","0"
"12856","Cuts Made","20/31"
"12856","Runner Up","0"
"12856","Third Place Finishes","0"
"12856","Top 5 Finishes","1"
"12856","Top 10 Finishes","1"
"12856","Year Joined Tour","-"
"12856","Official Money","$1,045"
"01003","Events Played","26"
"01003","PGA TOUR WINS","0"
"01003","International Wins","0"
"01003","Cuts Made","3/26"
"01003","Runner Up","0"
"01003","Third Place Finishes","0"
"01003","Top 5 Finishes","0"
"01003","Top 10 Finishes","0"
"01003","Year Joined Tour","-"
"01003","Official Money","$2,590"
"20051","Events Played","64"
"20051","PGA TOUR WINS","0"
"20051","International Wins","0"
"20051","Cuts Made","24/64"
"20051","Runner Up","0"
"20051","Third Place Finishes","1"
"20051","Top 5 Finishes","2"
"20051","Top 10 Finishes","2"
"20051","Year Joined Tour","-"
"20051","Official Money","$216,258"
"11249","Events Played","44"
"11249","PGA TOUR WINS","0"
"11249","International Wins","0"
"11249","Cuts Made","13/44"
"11249","Runner Up","0"
"11249","Third Place Finishes","0"
"11249","Top 5 Finishes","0"
"11249","Top 10 Finishes","1"
"11249","Year Joined Tour","-"
"11249","Official Money","$11,110"
"23778","Events Played","74"
"23778","PGA TOUR WINS","0"
"23778","International Wins","0"
"23778","Cuts Made","28/74"
"23778","Runner Up","1"
"23778","Third Place Finishes","0"
