RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,33141,Keegan Bradley,129' 10",85953' 3",662
2,0,52955,Ludvig Ãberg,125' 0",74261' 10",594
2,0,33948,Byeong Hun An,125' 0",78242' 7",626
4,0,60767,Blaine Hale Jr.,123' 1",49733' 9",404
5,0,47995,Davis Riley,122' 1",85847' 6",703
6,0,37378,Min Woo Lee,121' 0",56736' 0",469
7,0,32366,Kevin Chappell,120' 2",51665' 4",430
8,0,33653,Thomas Detry,120' 0",73442' 4",612
9,0,48867,Matti Schmid,119' 11",63312' 10",528
10,0,32102,Rickie Fowler,119' 8",70350' 0",588
11,0,56149,Wilson Furr,119' 6",51879' 7",434
12,0,50484,Hayden Springer,119' 1",66684' 4",560
13,0,59143,Mac Meissner,118' 7",69615' 8",587
14,0,52666,Sami Valimaki,118' 4",60702' 2",513
15,0,28089,Jason Day,117' 10",68690' 1",583
16,0,55893,Sam Stevens,117' 9",90644' 4",770
17,0,29221,Webb Simpson,117' 2",54495' 10",465
18,0,48084,Wesley Bryan,116' 8",44926' 9",385
19,0,40250,Taylor Pendrith,116' 5",90022' 2",773
20,0,34587,Chan Kim,115' 3",70892' 3",615
21,0,59095,Chris Gotterup,115' 2",70383' 10",611
22,0,39546,Keith Mitchell,114' 11",87112' 5",758
23,0,51766,Wyndham Clark,114' 5",60297' 10",527
24,0,55708,Hayden Buckley,114' 4",69515' 1",608
25,0,36799,Stephan Jaeger,114' 3",89812' 3",786
26,0,52372,Cameron Champ,114' 0",42969' 2",377
26,0,27330,Josh Teater,114' 0",46610' 9",409
28,0,57366,Cameron Young,113' 11",80088' 3",703
29,0,34255,Joseph Bramlett,113' 10",73099' 9",642
30,0,22405,Justin Rose,113' 0",57054' 1",505
31,0,51890,Greyson Sigg,112' 11",74396' 4",659
32,0,47504,Sam Burns,112' 10",69976' 11",620
33,0,28237,Rory McIlroy,112' 9",47248' 10",419
34,0,35506,Mackenzie Hughes,112' 8",94834' 3",842
35,0,45157,Cam Davis,112' 5",71822' 0",639
35,0,58168,Davis Thompson,112' 5",79124' 6",704
37,0,29725,Tony Finau,112' 3",76470' 1",681
38,0,33408,Tyson Alexander,112' 1",64213' 2",573
38,0,47663,Kevin Dougherty,112' 1",57731' 7",515
40,0,47591,Eric Cole,111' 5",102696' 1",922
41,0,50497,Adrien Dumont de Chassart,111' 1",63110' 2",568
41,0,30911,Tommy Fleetwood,111' 1",64758' 3",583
43,0,54421,Garrick Higgo,110' 10",67955' 3",613
44,0,51696,Rico Hoey,110' 4",64873' 1",588
45,0,46113,Ryan McCormick,110' 3",47178' 6",428
46,0,50188,S.H. Kim,110' 0",87036' 0",791
46,0,55454,Carl Yuan,110' 0",56992' 8",518
48,0,31323,Gary Woodland,109' 11",60036' 1",546
49,0,54591,Ben Griffin,109' 9",82557' 6",752
49,0,35461,Beau Hossler,109' 9",87773' 6",800
51,0,34099,Harris English,109' 8",73152' 4",667
51,0,34046,Jordan Spieth,109' 8",70822' 5",646
51,0,48887,Matt Wallace,109' 8",56608' 0",516
54,0,45609,Tyler Duncan,109' 7",63543' 4",580
55,0,39975,Michael Kim,108' 7",67432' 4",621
56,0,33204,Shane Lowry,108' 6",70211' 11",647
57,0,30926,Chris Kirk,108' 4",75969' 3",701
58,0,47483,Will Zalatoris,108' 3",58014' 7",536
59,0,48153,Matthieu Pavon,108' 2",60695' 1",561
60,0,47988,Nick Hardy,107' 9",82736' 2",768
61,0,26476,Chez Reavie,107' 8",61495' 11",571
62,0,50493,Justin Suh,107' 3",63273' 10",590
63,0,32367,Jorge Campillo,106' 11",38385' 3",359
63,0,59836,Pierceson Coody,106' 11",66087' 2",618
65,0,45242,Kevin Yu,106' 9",65127' 10",610
66,0,29420,Billy Horschel,106' 8",74431' 0",698
66,0,47983,Chad Ramey,106' 8",67817' 4",636
68,0,35450,Patrick Cantlay,106' 2",62015' 11",584
69,0,51287,Ryo Hisatsune,106' 1",70676' 0",666
70,0,37212,Paul Barjon,105' 9",41997' 3",397
70,0,60067,Joe Highsmith,105' 9",62174' 1",588
72,0,36871,Matt NeSmith,105' 5",61984' 1",588
73,0,33399,Adam Hadwin,105' 3",73694' 4",700
74,0,34374,Erik Barnes,105' 2",46286' 3",440
74,0,24024,Zach Johnson,105' 2",48066' 10",457
76,0,46717,Viktor Hovland,105' 0",55663' 0",530
77,0,33486,Roger Sloan,104' 11",63690' 1",607
78,0,59866,Nick Dunlap,104' 9",60779' 1",580
78,0,57975,Harry Hall,104' 9",67751' 11",647
78,0,50095,Austin Smotherman,104' 9",40235' 8",384
81,0,48117,Kurt Kitayama,104' 7",50704' 5",485
82,0,27649,Brandt Snedeker,104' 3",59933' 6",575
83,0,34021,Bud Cauley,104' 0",53152' 0",511
83,0,32640,Troy Merritt,104' 0",64890' 3",624
83,0,33968,ThorbjÃ¸rn Olesen,104' 0",35565' 8",342
86,0,52453,Nicolai HÃ¸jgaard,103' 11",41053' 11",395
