"stat_id","stat_title","category","category_name","subcategory_name","file_name"
"02675","SG: Total","STROKES_GAINED","Strokes Gained","Strokes Gained","sg_total.csv"
"02674","SG: Tee-to-Green","STROKES_GAINED","Strokes Gained","Strokes Gained","sg_tee-to-green.csv"
"02567","SG: Off-the-Tee","STROKES_GAINED","Strokes Gained","Strokes Gained","sg_off-the-tee.csv"
"02568","SG: Approach the Green","STROKES_GAINED","Strokes Gained","Strokes Gained","sg_approach_the_green.csv"
"02569","SG: Around-the-Green","STROKES_GAINED","Strokes Gained","Strokes Gained","sg_around-the-green.csv"
"02564","SG: Putting","STROKES_GAINED","Strokes Gained","Strokes Gained","sg_putting.csv"
"02674","SG: Tee-to-Green","OFF_TEE","Off The Tee","Strokes Gained - SG","sg_tee-to-green.csv"
"02567","SG: Off-the-Tee","OFF_TEE","Off The Tee","Strokes Gained - SG","sg_off-the-tee.csv"
"129","Total Driving","OFF_TEE","Off The Tee","Other","total_driving.csv"
"158","Ball Striking","OFF_TEE","Off The Tee","Other","ball_striking.csv"
"159","Longest Drives","OFF_TEE","Off The Tee","Distance (All Drives)","longest_drives.csv"
"101","Driving Distance","OFF_TEE","Off The Tee","Distance (All Drives)","driving_distance.csv"
"496","Driving Pct. 320+ (Measured)","OFF_TEE","Off The Tee","Distance (All Drives)","driving_pct._320+_(measured).csv"
"495","Driving Pct. 300-320 (Measured)","OFF_TEE","Off The Tee","Distance (All Drives)","driving_pct._300-320_(measured).csv"
"454","Driving Pct. 300+ (Measured)","OFF_TEE","Off The Tee","Distance (All Drives)","driving_pct._300+_(measured).csv"
"455","Driving Pct. 280-300 (Measured)","OFF_TEE","Off The Tee","Distance (All Drives)","driving_pct._280-300_(measured).csv"
"456","Driving Pct. 260-280 (Measured)","OFF_TEE","Off The Tee","Distance (All Drives)","driving_pct._260-280_(measured).csv"
"457","Driving Pct. 240-260 (Measured)","OFF_TEE","Off The Tee","Distance (All Drives)","driving_pct._240-260_(measured).csv"
"458","Driving Pct. <= 240 (Measured)","OFF_TEE","Off The Tee","Distance (All Drives)","driving_pct._less-than=_240_(measured).csv"
"317","Driving Distance - All Drives","OFF_TEE","Off The Tee","Distance (All Drives)","driving_distance_all_drives.csv"
"02433","Driving Pct. 320+ (All Drives)","OFF_TEE","Off The Tee","Distance (All Drives)","driving_pct._320+_(all_drives).csv"
