RANK,MOVEMENT,PLAYER_ID,PLAYER,BEST STREAK
1,0,01527,Scott Hoch,12
2,0,01783,Mark McCumber,11
3,0,01996,Mike Reid,10
4,0,01837,Gil Morgan,9
5,0,01378,David Frost,8
5,0,02241,Bobby Wadkins,8
7,0,01157,Tom Byrum,7
7,0,01706,Davis Love III,7
7,0,01998,Jack Renner,7
7,0,02225,Howard Twitty,7
7,0,02256,Tom Watson,7
7,0,02322,Richard Zokol,7
13,0,01042,Paul Azinger,6
13,0,01156,Curt Byrum,6
13,0,01197,Bobby Clampett,6
13,0,01633,Tom Kite,6
13,0,01701,Bob Lohr,6
13,0,01887,Mark O'Meara,6
13,0,01928,Corey Pavin,6
13,0,01958,Dan Pohl,6
13,0,01960,Don Pooley,6
13,0,02099,Scott Simpson,6
13,0,02255,Denis Watson,6
24,0,01037,Dewey Arnette,5
24,0,01060,Dave Barr,5
24,0,01096,Phil Blackmar,5
24,0,01161,Mark Calcavecchia,5
24,0,01175,Jim Carter,5
24,0,01226,Fred Couples,5
24,0,01235,Ben Crenshaw,5
24,0,01468,Gary Hallberg,5
24,0,01475,Donnie Hammond,5
24,0,01522,Lon Hinkle,5
24,0,01823,Larry Mize,5
24,0,01864,Larry Nelson,5
24,0,01891,David Ogrin,5
24,0,01964,Greg Powers,5
24,0,01968,Nick Price,5
24,0,02023,Clarence Rose,5
24,0,02033,Dave Rummells,5
24,0,02083,Tom Shaw,5
24,0,02094,Tony Sills,5
24,0,02101,Joey Sindelar,5
24,0,02133,Craig Stadler,5
24,0,02159,Curtis Strange,5
24,0,02170,Hal Sutton,5
24,0,02242,Lanny Wadkins,5
24,0,02267,D.A. Weibring,5
24,0,02303,Robert Wrenn,5
24,0,02321,Fuzzy Zoeller,5
51,0,01039,Perry Arthur,4
51,0,01061,Ray Barr Jr.,4
51,0,01072,Chip Beck,4
51,0,01098,Jay Don Blake,4
51,0,01135,Ken Brown,4
51,0,01214,Frank Conner,4
51,0,01282,Trevor Dodds,4
51,0,01284,Mike Donald,4
51,0,01288,Ed Dougherty,4
51,0,01313,Steve Elkington,4
51,0,01326,Nick Faldo,4
51,0,01355,Raymond Floyd,4
51,0,01361,Dan Forsman,4
51,0,01390,Buddy Gardner,4
51,0,01418,Bill Glasson,4
51,0,01457,Jay Haas,4
