RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
1,0,01132,Mark Brooks,147.3,986547000,186
2,0,23135,Tim Clark,149.5,979714000,182
3,0,08537,J.P. Hayes,151.0,1081918000,199
4,0,20623,Gavin Coles,151.8,606767000,111
5,0,21739,Aaron Barber,152.7,1292000000,235
6,0,01378,David Frost,152.9,1211261000,220
7,0,06643,Paul Goydos,153.3,1291473000,234
8,0,02010,Loren Roberts,154.8,980534000,176
9,0,06475,Jeff Klein,155.7,666889000,119
10,0,23983,Luke Donald,155.8,1234303000,220
11,0,22621,Ben Curtis,156.1,831846000,148
12,0,01307,Joel Edwards,156.4,850338000,151
13,0,10425,Jay Williamson,156.6,1228763000,218
14,0,01707,Steve Lowery,156.9,1101345000,195
15,0,20771,Steven Alker,157.1,1046571000,185
16,0,02170,Hal Sutton,157.2,1137464000,201
17,0,08547,John Maginnes,157.4,1031390000,182
18,0,23621,Rory Sabbatini,157.5,1264609000,223
19,0,06617,Brian Henninger,157.6,777157000,137
20,0,01666,Bernhard Langer,157.8,789494000,139
21,0,21878,Mark Wilson,157.9,1051425000,185
22,0,01619,Skip Kendall,158.1,1650842000,290
22,0,20127,Chris Riley,158.1,1189513000,209
24,0,08931,Glen Day,158.9,1716510000,300
24,0,01569,Peter Jacobsen,158.9,1041059000,182
26,0,22293,Heath Slocum,159.1,1523843000,266
27,0,06809,Bob Burns,159.3,957416000,167
27,0,23108,Matt Kuchar,159.3,843180000,147
29,0,06575,Dudley Hart,159.5,832365000,145
30,0,01139,Olin Browne,159.6,1580422000,275
30,0,01475,Donnie Hammond,159.6,1224055000,213
32,0,01887,Mark O'Meara,159.9,690715000,120
33,0,10809,Jim Furyk,160.1,1504036000,261
34,0,12645,Brent Geiberger,160.6,751419000,130
35,0,26420,Richard Johnson,160.7,1191626000,206
35,0,01761,Len Mattiace,160.7,1134037000,196
37,0,20572,Rod Pampling,160.8,1267989000,219
38,0,23552,Hank Kuehne,161.0,1274786000,220
39,0,23036,Chris Anderson,161.2,1334777000,230
39,0,12388,Michael Clark II,161.2,824174000,142
39,0,12680,Shigeki Maruyama,161.2,1189782000,205
42,0,01381,Fred Funk,161.3,1561832000,269
43,0,22295,Darron Stiles,161.5,1308025000,225
44,0,01035,Tommy Armour III,161.7,972232000,167
44,0,01320,Bob Estes,161.7,1350879000,232
46,0,01329,Brad Faxon,161.9,1293831000,222
46,0,19846,Brian Gay,161.9,1305866000,224
48,0,07721,Pat Bates,162.0,1586181000,272
49,0,02239,Scott Verplank,162.1,1499316000,257
50,0,01797,Rocco Mediate,162.3,1080941000,185
51,0,10201,Matt Gogel,162.5,947527000,162
52,0,20498,Briny Baird,162.7,1716365000,293
52,0,22913,John Rollins,162.7,1182986000,202
54,0,20229,Stewart Cink,162.8,1658809000,283
54,0,01724,Jeff Maggert,162.8,1201831000,205
56,0,25692,Akio Sadakata,162.9,1114196000,190
57,0,20573,Scott Laycock,163.0,956530000,163
58,0,20099,Doug Barron,163.1,1303612000,222
59,0,01938,David Peoples,163.3,1381611000,235
60,0,08545,Glen Hnatiuk,163.4,1252687000,213
60,0,02104,Jeff Sluman,163.4,1494163000,254
62,0,11032,Frank Lickliter II,163.5,1282768000,218
63,0,01161,Mark Calcavecchia,163.6,1348585000,229
63,0,01553,John Huston,163.6,1360110000,231
