RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S
1,0,27649,Brandt Snedeker,4100,2,7
111,0,21528,Henrik Stenson,462,0,1,6837
112,0,27214,Kevin Streelman,462,0,3,6837
113,0,28308,Troy Kelly,462,0,1,6837
114,0,32366,Kevin Chappell,447,0,1,6852
115,0,01706,Davis Love III,443,0,2,6856
116,0,01724,Jeff Maggert,437,0,1,6862
117,0,22378,Trevor Immelman,423,0,6876
118,0,10885,Robert Allenby,417,0,2,6882
119,0,23409,James Driscoll,413,0,2,6886
120,0,30711,Colt Knost,390,0,2,6909
121,0,21805,Harrison Frazar,387,0,2,6912
122,0,08075,Jerry Kelly,385,0,6914
123,0,26289,Boo Weekley,365,0,2,6934
124,0,22293,Heath Slocum,365,0,6934
125,0,24507,Jason Bohn,363,0,2,6936
126,0,27064,Jhonattan Vegas,361,0,2,6938
127,0,24663,Y.E. Yang,351,0,6948
128,0,12782,Tim Herron,339,0,6960
129,0,32698,Bobby Gates,338,0,1,6961
130,0,29518,Brendan Steele,334,0,3,6965
131,0,20157,Retief Goosen,330,0,2,6969
132,0,26476,Chez Reavie,327,0,6972
133,0,22961,David Mathis,322,0,1,6977
134,0,31323,Gary Woodland,321,0,6978
135,0,06251,Chris DiMarco,316,0,1,6983
136,0,23325,Vaughn Taylor,312,0,6987
137,0,24494,Erik Compton,311,0,6988
138,0,29476,Kyle Reifers,311,0,6988
139,0,20229,Stewart Cink,310,0,6989
140,0,01249,John Daly,298,0,1,7001
141,0,28087,Kris Blanks,297,0,7002
142,0,23548,Bill Lunde,294,0,7005
143,0,29420,Billy Horschel,289,0,1,7010
144,0,20098,Stuart Appleby,287,0,7012
145,0,31558,J.J. Killeen,286,0,1,7013
146,0,30927,Brendon Todd,281,0,1,7018
147,0,10860,Justin Leonard,277,0,2,7022
148,0,27770,Camilo Villegas,267,0,7032
149,0,35139,Richard Lee,262,0,7037
150,0,29222,Billy Hurley III,256,0,2,7043
