RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,29420,Billy Horschel,4750,2,5
66,0,21731,Freddie Jacobson,1068,0,4,5737
67,0,26300,Matt Jones,1051,1,1,5754
68,0,01810,Phil Mickelson,1046,0,1,5759
69,0,24357,K.J. Choi,1019,0,2,5786
70,0,24507,Jason Bohn,1011,0,3,5794
71,0,34431,Robert Streb,966,0,2,5839
72,0,30852,Ryo Ishikawa,936,0,3,5869
73,0,30944,Jason Kokrak,932,0,2,5873
74,0,26758,David Hearn,930,0,3,5875
75,0,25444,Justin Hicks,923,0,3,5882
76,0,33413,Ben Martin,899,0,3,5906
77,0,34261,Scott Langley,898,0,1,5907
78,0,24138,Ian Poulter,892,0,2,5913
79,0,29518,Brendan Steele,881,0,4,5924
80,0,20229,Stewart Cink,866,0,5939
81,0,23623,Bo Van Pelt,866,0,1,5939
82,0,25191,Gonzalo Fernandez-Castaño,863,0,1,5942
83,0,33418,Shawn Stefani,842,0,2,5963
84,0,30692,Scott Stallings,831,1,1,5974
85,0,29479,Scott Brown,821,0,4,5984
86,0,27649,Brandt Snedeker,812,0,3,5993
87,0,06567,Vijay Singh,800,0,1,6005
88,0,29926,Danny Lee,800,0,1,6005
89,0,23983,Luke Donald,798,0,3,6007
90,0,25686,Jason Dufner,798,0,4,6007
91,0,23638,Brendon de Jonge,762,0,2,6043
92,0,28475,Jeff Overton,719,0,3,6086
93,0,28486,Michael Putnam,708,0,1,6097
94,0,29425,Andrew Svoboda,702,0,2,6103
95,0,25364,Paul Casey,699,0,6106
96,0,34174,John Huh,698,0,2,6107
97,0,29222,Billy Hurley III,685,0,4,6120
98,0,24361,Pat Perez,682,0,3,6123
99,0,24358,Robert Garrigus,678,0,2,6127
100,0,25562,Andres Romero,655,0,1,6150
101,0,32640,Troy Merritt,609,0,1,6196
102,0,27895,Jonas Blixt,599,0,1,6206
103,0,20157,Retief Goosen,591,0,2,6214
104,0,29478,Kevin Kisner,587,0,3,6218
105,0,27095,Nick Watney,584,0,2,6221
106,0,35539,Luke Guthrie,580,0,2,6225
107,0,20396,Lee Westwood,577,0,2,6228
108,0,23621,Rory Sabbatini,567,0,3,6238
109,0,23800,Bryce Molder,565,0,2,6240
110,0,21753,Brian Davis,538,0,6267
111,0,26289,Boo Weekley,536,0,1,6269
112,0,28500,Martin Flores,534,0,1,6271
113,0,24846,Ricky Barnes,530,0,2,6275
114,0,22371,Aaron Baddeley,528,0,2,6277
115,0,27064,Jhonattan Vegas,528,0,2,6277
116,0,06527,Steve Stricker,519,0,2,6286
117,0,32150,Michael Thompson,515,0,1,6290
118,0,02206,David Toms,502,0,2,6303
119,0,25349,Tim Wilkinson,498,0,3,6307
120,0,10860,Justin Leonard,491,0,2,6314
121,0,29535,Brice Garnett,488,0,1,6317
122,0,28259,Sangmoon Bae,466,0,6339
123,0,32448,James Hahn,456,0,2,6349
124,0,26329,Louis Oosthuizen,453,0,1,6352
125,0,10885,Robert Allenby,438,0,6367
126,0,28780,Nicholas Thompson,437,0,1,6368
127,0,27936,Martin Laird,425,0,1,6380
128,0,23353,J.J. Henry,425,0,6380
129,0,22293,Heath Slocum,419,0,1,6386
130,0,32334,Charlie Beljan,409,0,1,6396
131,0,22621,Ben Curtis,406,0,1,6399
132,0,20593,Greg Chalmers,402,0,1,6403
133,0,27933,John Merrick,399,0,6406
134,0,34409,David Lingmerth,391,0,2,6414
135,0,32200,Roberto Castro,387,0,1,6418
136,0,24925,Jonathan Byrd,383,0,1,6422
137,0,35300,Andrew Loupe,380,0,1,6425
138,0,35139,Richard Lee,376,0,2,6429
139,0,10423,Mike Weir,375,0,1,6430
140,0,19846,Brian Gay,375,0,1,6430
141,0,20498,Briny Baird,366,0,1,6439
142,0,34265,Will Wilcox,362,0,2,6443
143,0,34021,Bud Cauley,357,0,1,6448
144,0,28132,Tyrone Van Aswegen,355,0,6450
145,0,22378,Trevor Immelman,354,0,1,6451
146,0,34264,Hudson Swafford,351,0,1,6454
147,0,31193,Jim Renner,346,0,1,6459
148,0,27330,Josh Teater,334,0,6471
149,0,20160,Charlie Wi,329,0,6476
150,0,26951,Johnson Wagner,323,0,1,6482
151,0,29740,Brad Fritsch,322,0,3,6483
152,0,12510,Chad Campbell,317,0,1,6488
153,0,35732,Wes Roach,314,0,1,6491
154,0,27556,Ted Potter Jr.,311,0,6494
155,0,23409,James Driscoll,311,0,6494
156,0,30750,Tommy Gainey,311,0,1,6494
157,0,20104,Ken Duke,305,0,6500
158,0,30110,Kyle Stanley,297,0,1,6508
159,0,25720,Chad Collins,295,0,1,6510
160,0,24140,Sean O'Hair,278,0,1,6527
161,0,22792,Peter Hanson,262,0,6543
162,0,01706,Davis Love III,253,0,6552
163,0,27466,Spencer Levin,246,0,6559
164,0,22913,John Rollins,244,0,6561
165,0,27120,Troy Matteson,238,0,1,6567
166,0,25818,Scott Piercy,238,0,6567
167,0,24663,Y.E. Yang,234,0,6571
168,0,07867,Woody Austin,225,0,6580
169,0,28158,Steve Marino,224,0,6581
170,0,06621,Joe Durant,221,0,6584
171,0,37273,Derek Ernst,218,0,6587
172,0,29461,Jamie Lovemark,212,0,6593
173,0,25240,D.A. Points,206,0,6599
174,0,01724,Jeff Maggert,195,0,1,6610
175,0,33968,Thorbjørn Olesen,182,0,1,6623
176,0,22892,Jason Gore,175,0,1,6630
177,0,32333,Kevin Tway,172,0,6633
178,0,34466,Peter Malnati,172,0,6633
179,0,35541,John Peterson,170,0,6635
180,0,10213,Dicky Pride,159,0,1,6646
181,0,12782,Tim Herron,157,0,6648
182,0,31557,Jim Herman,142,0,6663
183,0,21878,Mark Wilson,142,0,6663
184,0,23048,Eric Axley,141,0,6664
185,0,25900,Lucas Glover,129,0,6676
186,0,26956,Bronson La'Cassie,128,0,6677
187,0,24399,Scott Gardiner,125,0,6680
188,0,20766,Padraig Harrington,116,0,6689
189,0,28093,Miguel Angel Carballo,116,0,6689
190,0,06004,Stephen Ames,104,0,6701
191,0,21099,David Lynn,104,0,6701
192,0,01948,Tim Petrovic,96,0,6709
193,0,28092,D.H. Lee,94,0,6711
194,0,29910,Blake Adams,91,0,6714
195,0,21350,Ryuji Imada,90,0,6715
196,0,23452,Nicolas Colsaerts,88,0,6717
197,0,01945,Kenny Perry,83,0,6722
198,0,19825,Darren Clarke,83,0,6722
199,0,01666,Bernhard Langer,80,0,1,6725
200,0,22806,Doug LaBelle II,79,0,6726
201,0,35840,Kevin Foley,78,0,6727
202,0,09011,David Duval,77,0,6728
203,0,20572,Rod Pampling,74,0,1,6731
204,0,28310,Lee Williams,74,0,6731
205,0,01320,Bob Estes,73,0,1,6732
206,0,30946,Alex Prugh,72,0,6733
207,0,12652,Cameron Beckman,72,0,6733
208,0,20691,Greg Owen,67,0,6738
209,0,01249,John Daly,63,0,6742
210,0,19972,José Coceres,59,0,6746
211,0,20070,Matt Bettencourt,57,0,6748
212,0,33120,Mark Anderson,55,0,6750
213,0,28455,Will Claxton,52,0,6753
214,0,02256,Tom Watson,51,0,6754
215,0,01226,Fred Couples,49,0,6756
216,0,01161,Mark Calcavecchia,49,0,6756
217,0,35450,Patrick Cantlay,48,0,6757
218,0,08793,Tiger Woods,45,0,6760
219,0,23497,Tag Ridings,42,0,6763
220,0,01577,Lee Janzen,41,0,6764
221,0,21949,Joe Ogilvie,40,0,6765
222,0,08931,Glen Day,40,0,6765
223,0,07457,Steve Flesch,37,0,6768
223,0,21805,Harrison Frazar,37,0,6768
225,0,24227,Justin Bolli,37,0,6768
226,0,06373,José María Olazábal,36,0,6769
227,0,20472,Alex Cejka,34,0,6771
228,0,06575,Dudley Hart,32,0,6773
229,0,26668,Marc Turnesa,31,0,6774
230,0,02106,Chris Smith,28,0,6777
231,0,01717,Sandy Lyle,25,0,6780
232,0,01766,Billy Mayfair,24,0,6781
233,0,24940,Edward Loar,23,0,6782
234,0,01761,Len Mattiace,21,0,6784
235,0,10733,Kent Jones,20,0,6785
235,0,01823,Larry Mize,20,0,6785
237,0,28087,Kris Blanks,19,0,6786
238,0,23788,D.J. Trahan,18,0,6787
239,0,26476,Chez Reavie,18,0,6787
240,0,31289,Benjamín Alvarado,15,0,6790
241,0,23718,Nathan Green,14,0,6791
242,0,36884,Ben Kohles,13,0,6792
243,0,23325,Vaughn Taylor,12,0,6793
244,0,06643,Paul Goydos,11,0,6794
245,0,21407,Arjun Atwal,11,0,6794
246,0,01473,Todd Hamilton,11,0,6794
247,0,28679,Fabián Gómez,10,0,6795
248,0,01381,Fred Funk,9,0,6796
249,0,20850,Daniel Chopra,9,0,6796
250,0,06034,Marco Dawson,4,0,6801
250,0,12660,Jesper Parnevik,4,0,6801
252,0,25936,Alex Aragon,2,0,6803
253,0,10585,Scott McCarron,2,0,6803
254,0,08375,Paul Stankowski,1,0,6804
255,0,02239,Scott Verplank,1,0,6804
256,0,06251,Chris DiMarco,1,0,6804
257,0,07749,Brett Quigley,1,0,6804
258,0,32698,Bobby Gates,1,0,6804
