YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%
2024,1,0,59143,Mac Meissner,33.94%
2024,2,0,46046,Scottie Scheffler,31.75%
2024,3,0,32757,Patton Kizzire,30.46%
2024,4,0,59836,Pierceson Coody,29.72%
2024,5,0,50493,Justin Suh,29.68%
2024,6,0,57900,Chandler Phillips,29.44%
2024,7,0,37275,Sam Ryder,29.38%
2024,8,0,51977,Max Greyserman,28.57%
2024,8,0,27064,Jhonattan Vegas,28.57%
2024,10,0,40162,Justin Lower,27.87%
2024,11,0,50525,Collin Morikawa,27.84%
2024,11,0,34256,Andrew Putnam,27.84%
2024,13,0,50188,S.H. Kim,27.62%
2024,14,0,48084,Wesley Bryan,27.42%
2024,15,0,27129,Luke List,27.40%
2024,16,0,54783,Dylan Wu,27.06%
2024,17,0,52514,Trace Crowe,26.84%
2024,18,0,56630,Akshay Bhatia,26.61%
2024,18,0,58168,Davis Thompson,26.61%
2024,20,0,55893,Sam Stevens,26.58%
2024,21,0,50095,Austin Smotherman,26.32%
2024,22,0,39324,J.J. Spaun,25.79%
2024,23,0,46414,Aaron Rai,25.68%
2024,24,0,27644,Brian Harman,25.59%
2024,25,0,32333,Kevin Tway,25.55%
2024,26,0,57975,Harry Hall,25.49%
2024,27,0,35450,Patrick Cantlay,25.43%
2024,27,0,52666,Sami Valimaki,25.43%
2024,29,0,33408,Tyson Alexander,25.42%
2024,30,0,24024,Zach Johnson,25.38%
2024,30,0,40115,Adam Svensson,25.38%
2024,32,0,51997,Andrew Novak,25.28%
2024,33,0,32791,K.H. Lee,25.25%
2024,34,0,33486,Roger Sloan,25.14%
2024,35,0,34021,Bud Cauley,25.00%
2024,35,0,32839,Hideki Matsuyama,25.00%
2024,35,0,30163,Henrik Norlander,25.00%
2024,38,0,60004,Jacob Bridgeman,24.87%
2024,39,0,34076,Joel Dahmen,24.79%
2024,40,0,46442,Maverick McNealy,24.65%
2024,41,0,47504,Sam Burns,24.61%
2024,42,0,33968,Thorbjørn Olesen,24.48%
2024,43,0,28775,Nate Lashley,24.43%
2024,44,0,34255,Joseph Bramlett,24.40%
2024,44,0,59866,Nick Dunlap,24.40%
2024,46,0,35461,Beau Hossler,24.35%
2024,47,0,40250,Taylor Pendrith,24.26%
2024,48,0,54421,Garrick Higgo,24.20%
2024,49,0,33141,Keegan Bradley,24.19%
2024,50,0,31646,Emiliano Grillo,24.11%
2024,51,0,32366,Kevin Chappell,24.00%
2024,52,0,46340,Alex Smalley,23.74%
2024,53,0,29725,Tony Finau,23.70%
2024,54,0,47988,Nick Hardy,23.61%
2024,54,0,37455,Si Woo Kim,23.61%
2024,54,0,28252,Seamus Power,23.61%
2024,57,0,52453,Nicolai Højgaard,23.56%
2024,58,0,39997,Corey Conners,23.53%
2024,59,0,57366,Cameron Young,23.48%
2024,60,0,33948,Byeong Hun An,23.35%
2024,61,0,60067,Joe Highsmith,23.30%
2024,62,0,30911,Tommy Fleetwood,23.29%
2024,62,0,32102,Rickie Fowler,23.29%
2024,64,0,26476,Chez Reavie,23.26%
2024,65,0,37378,Min Woo Lee,23.20%
2024,66,0,51349,Nico Echavarria,23.08%
