YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
2024,1,0,46046,Scottie Scheffler,16.1957,680.2188,-488.5038,727.4548
2024,2,0,48081,Xander Schauffele,9.5556,410.892,-259.958,444.2496
2024,3,0,28237,Rory McIlroy,7.9678,374.4851,-344.4997,347.894
2024,4,0,50525,Collin Morikawa,5.6188,247.2273,-160.2568,243.9563
2024,5,0,52955,Ludvig Åberg,5.4936,219.746,-107.0814,221.6311
2024,6,1,32839,Hideki Matsuyama,4.8815,219.6686,-115.3748,249.3404
2024,7,-1,51766,Wyndham Clark,4.8657,223.8208,-207.3955,222.3401
2024,8,0,46717,Viktor Hovland,4.5784,183.1341,-244.1944,104.1527
2024,9,0,30911,Tommy Fleetwood,3.9313,204.4267,-167.888,185.4421
2024,10,0,47959,Bryson DeChambeau,3.884,155.3595,-54.5755,179.0
2024,11,0,35450,Patrick Cantlay,3.6929,147.7164,-198.8584,130.3452
2024,12,0,33141,Keegan Bradley,3.6538,164.4219,-140.4649,155.2142
2024,13,0,51634,Sahith Theegala,3.64,185.6388,-147.3751,199.8829
2024,14,0,52215,Robert MacIntyre,3.4725,180.5717,-83.4552,182.406
2024,15,0,34363,Tyrrell Hatton,3.4387,137.5486,-149.3073,100.4707
2024,16,0,29420,Billy Horschel,3.4059,170.2937,-84.3154,182.0011
2024,17,0,34098,Russell Henley,3.3626,137.8677,-117.5577,134.1667
2024,18,0,24502,Adam Scott,3.1249,149.9949,-87.3528,146.515
2024,19,0,47504,Sam Burns,3.0217,135.9756,-138.4591,133.5946
2024,20,2,33448,Justin Thomas,2.9942,128.7524,-121.5955,128.9508
2024,21,0,55182,Tom Kim,2.994,155.6877,-165.2681,122.3668
2024,22,-2,46970,Jon Rahm,2.9592,118.3683,-283.084,55.2815
2024,23,0,46414,Aaron Rai,2.9508,153.441,-70.8853,148.9786
2024,24,0,39971,Sungjae Im,2.85,148.2026,-137.3489,147.0895
2024,25,0,33948,Byeong Hun An,2.8178,132.4374,-87.6146,144.1739
2024,26,0,29725,Tony Finau,2.7582,124.1186,-153.85,127.0621
2024,27,0,27644,Brian Harman,2.7163,138.5295,-178.469,102.0411
2024,28,0,33204,Shane Lowry,2.7161,135.8071,-104.6776,141.2017
2024,29,0,56630,Akshay Bhatia,2.644,137.4861,-66.8889,151.1385
2024,30,0,48153,Matthieu Pavon,2.5342,131.7775,-83.9438,156.5609
2024,31,0,46442,Maverick McNealy,2.5295,106.24,-41.2681,120.3881
2024,32,0,59866,Nick Dunlap,2.4687,98.7481,-29.5659,128.314
2024,33,0,49771,J.T. Poston,2.3693,120.8365,-98.2675,116.1726
2024,34,3,57362,Austin Eckroat,2.3444,119.5636,-65.3561,128.3982
2024,35,0,49960,Sepp Straka,2.3349,121.4142,-132.8029,89.8952
2024,36,-2,28089,Jason Day,2.3338,98.0208,-113.0578,85.104
2024,37,2,51977,Max Greyserman,2.3335,114.3393,-27.3639,115.4047
2024,38,0,57366,Cameron Young,2.317,108.8972,-151.2236,113.2999
2024,39,-3,39977,Max Homa,2.3106,106.2895,-188.076,80.8588
2024,40,2,52686,Rasmus Hojgaard,2.2776,107.0468,-54.9466,101.8345
2024,41,0,39997,Corey Conners,2.2767,104.7273,-103.879,97.4896
2024,42,-2,40098,Matt Fitzpatrick,2.2697,113.4847,-192.1506,74.2309
2024,43,1,58168,Davis Thompson,2.2317,111.5827,-59.4425,121.9988
2024,44,-1,47993,Denny McCarthy,2.2283,102.5,-103.8973,92.3225
2024,45,1,45523,Thriston Lawrence,2.1141,109.9348,-59.6932,104.4795
2024,46,-1,22405,Justin Rose,2.111,97.1042,-82.3811,89.936
2024,47,1,40250,Taylor Pendrith,2.0767,107.9899,-57.5241,117.4933
2024,48,-1,37378,Min Woo Lee,2.0751,101.6811,-97.5957,82.8353
2024,49,0,59141,Matt McCarty,2.0653,107.3978,-18.9755,110.897
2024,50,0,30926,Chris Kirk,2.027,93.2437,-105.8628,115.4359
2024,51,0,25900,Lucas Glover,2.0259,105.3492,-97.6459,66.7197
2024,52,0,45157,Cam Davis,2.0071,104.3701,-88.3706,87.752
2024,53,0,36799,Stephan Jaeger,1.9863,103.2898,-69.0557,116.8129
2024,54,0,27349,Alex Noren,1.9641,96.2419,-78.8294,94.5393
2024,55,0,45522,Christiaan Bezuidenhout,1.9405,100.9085,-72.0542,117.5103
2024,56,0,35506,Mackenzie Hughes,1.8849,98.0166,-69.3146,93.2132
2024,57,0,47591,Eric Cole,1.8795,97.7352,-90.368,77.8258
2024,58,0,52453,Nicolai Højgaard,1.8365,95.4997,-79.0149,77.6997
2024,59,0,33399,Adam Hadwin,1.7994,84.57,-83.5991,81.807
2024,60,0,37455,Si Woo Kim,1.786,91.0873,-99.7545,89.6321
2024,61,0,33653,Thomas Detry,1.735,90.2183,-70.3339,100.6677
2024,62,1,48887,Matt Wallace,1.7295,89.9339,-60.0099,78.2412
2024,63,-1,47483,Will Zalatoris,1.7215,68.8608,-107.3441,89.2279
2024,64,0,34046,Jordan Spieth,1.6859,74.1811,-139.855,60.4429
2024,65,1,33968,Thorbjørn Olesen,1.6771,87.2102,-59.0729,84.5173
2024,66,2,54591,Ben Griffin,1.6741,87.0509,-60.7829,89.9115
2024,67,-2,35532,Tom Hoge,1.6732,87.0064,-85.5408,95.5903
2024,68,-1,25493,Nick Taylor,1.6559,82.7939,-98.0063,89.2039
2024,69,1,45242,Kevin Yu,1.6484,74.1794,-35.9895,85.1284
2024,70,-1,48117,Kurt Kitayama,1.6386,70.4611,-112.0247,61.9631
2024,71,0,51349,Nico Echavarria,1.6149,83.9752,-19.7528,86.2782
2024,72,2,45486,Joaquin Niemann,1.5874,63.4958,-52.3035,58.1734
2024,73,-1,34099,Harris English,1.5755,75.6234,-80.6065,70.8248
2024,74,-1,32102,Rickie Fowler,1.5635,71.92,-102.2623,38.8353
2024,75,0,40006,Erik van Rooyen,1.5118,78.614,-54.8753,74.1153
2024,76,3,37250,Romain Langasque,1.4804,76.9826,-41.8386,71.4224
2024,77,0,27064,Jhonattan Vegas,1.4687,58.7483,-16.3357,63.8072
2024,78,-2,49947,Taylor Moore,1.4597,74.4422,-83.5898,68.0361
2024,79,-2,47679,Victor Perez,1.4589,74.404,-62.1604,73.2859
2024,80,0,35891,Cameron Smith,1.4441,57.7632,-101.9367,45.2919
2024,81,0,35461,Beau Hossler,1.4389,74.8214,-56.208,65.2381
2024,82,0,51950,Max McGreevy,1.3782,71.6641,-17.831,78.3491
2024,83,0,29936,Ryan Fox,1.3572,70.5722,-104.7293,42.3576
2024,84,1,31646,Emiliano Grillo,1.3461,68.6522,-97.6791,49.9323
2024,85,1,46464,Jordan Smith,1.3369,69.5186,-56.4175,59.1959
2024,86,-2,36689,Brooks Koepka,1.335,53.4015,-95.6334,20.0813
2024,87,0,47420,Jake Knapp,1.3266,62.35,-43.517,78.5925
2024,88,0,54628,Lee Hodges,1.2892,67.0358,-63.365,51.4757
2024,89,1,33199,Matteo Manassero,1.2786,66.4883,-21.5162,69.9687
2024,90,-1,36699,Patrick Rodgers,1.2748,66.2876,-58.7026,66.3156
2024,91,0,66743,Luke Clanton,1.268,50.719,-3.9304,54.6494
2024,92,0,35706,Niklas Norgaard,1.2576,65.3961,-22.5109,66.6117
2024,93,1,52375,Doug Ghim,1.2564,65.331,-33.4804,66.7751
2024,94,-2,39546,Keith Mitchell,1.2469,63.5911,-63.348,64.7966
2024,95,1,52689,Rasmus Neergaard-Petersen,1.2384,52.0112,-11.7691,54.3284
2024,96,-1,51287,Ryo Hisatsune,1.2382,64.3882,-55.9686,53.2693
2024,97,2,31113,Paul Waring,1.2204,62.2396,-24.8273,60.493
2024,98,0,36801,Mark Hubbard,1.2186,63.3653,-57.3084,63.1086
2024,99,-2,30927,Brendon Todd,1.2181,63.3393,-70.533,56.979
2024,100,0,51894,Vince Whaley,1.213,50.9477,-19.6019,47.8255
2024,101,1,61193,David Puig,1.2056,48.2242,-21.34,47.7642
2024,102,3,48867,Matti Schmid,1.1991,62.3544,-36.3375,51.3496
2024,103,3,32367,Jorge Campillo,1.1974,62.2666,-49.6476,57.9216
2024,104,-3,47347,Adam Schenk,1.1934,62.0547,-86.472,46.9817
2024,105,-2,32757,Patton Kizzire,1.1913,60.7582,-23.7284,59.8336
2024,106,-2,57586,Jesper Svensson,1.1902,61.8896,-28.0298,65.7839
2024,107,0,29908,C.T. Pan,1.1734,46.9366,-27.6074,47.0931
2024,108,0,57975,Harry Hall,1.1705,60.8677,-37.4216,58.7003
2024,109,0,50823,Tom McKibbin,1.1525,59.9319,-36.5431,57.6791
2024,110,1,40162,Justin Lower,1.1396,59.2582,-34.304,63.1501
2024,111,-1,47995,Davis Riley,1.1334,58.9353,-49.9446,64.292
2024,112,1,51696,Rico Hoey,1.1267,58.5888,-27.7376,53.6828
2024,113,1,49120,Kensei Hirata,1.1259,58.5492,-19.4754,51.5279
2024,114,-2,49228,Keita Nakajima,1.1245,53.9774,-40.584,43.5877
2024,115,4,33974,Dean Burmester,1.123,44.919,-40.36,32.615
2024,116,0,54576,Patrick Fishburn,1.1162,56.9245,-20.1544,53.0356
2024,117,-2,39324,J.J. Spaun,1.1154,57.9988,-50.4402,48.8067
2024,118,4,28340,Julien Guerrier,1.1072,57.5763,-30.7341,49.5066
2024,119,-2,23108,Matt Kuchar,1.0997,54.9826,-57.8547,39.949
2024,120,-2,27129,Luke List,1.0984,57.1157,-56.2313,51.1002
2024,121,-1,55955,Matthew Jordan,1.0926,56.8166,-27.1172,53.0343
2024,122,2,51997,Andrew Novak,1.0751,55.9027,-27.8992,60.3458
2024,123,0,34360,Patrick Reed,1.0733,42.9309,-46.351,37.22
2024,124,-3,33674,Adrian Meronk,1.0668,42.6738,-80.5966,24.1569
2024,125,0,46405,Sebastian Soderberg,1.0651,52.1886,-42.8185,50.4848
