type_name,kind,description
Query,OBJECT,
LiveVideoOverride,OBJECT,
TourCode,ENUM,
Video,OBJECT,
ID,SCALAR,Built-in ID
String,SCALAR,Built-in String
ImageAsset,OBJECT,
AWSTimestamp,SCALAR,"The `AWSTimestamp` scalar type provided by AWS AppSync, represents the number of seconds that have elapsed since `1970-01-01T00:00Z`. Negative values are also accepted and these represent the number of seconds till `1970-01-01T00:00Z`.  Timestamps are serialized and deserialized as integers. The minimum supported timestamp value is **`-31557014167219200`** which corresponds to `-1000000000-01-01T00:00Z`. The maximum supported timestamp value is **`31556889864403199`** which corresponds to `1000000000-12-31T23:59:59.999999999Z`."
PlayerVideo,OBJECT,
Int,SCALAR,Built-in Int
VideoSponsor,OBJECT,
VideoDescription,UNION,
NewsArticleText,OBJECT,
NewsArticleLink,OBJECT,
NewsArticleContentSegment,OBJECT,
NewsArticleFormat,OBJECT,
Style,OBJECT,
Orientation,ENUM,
Boolean,SCALAR,Built-in Boolean
RyderCupTeamType,ENUM,
RyderCupContentPlayer,OBJECT,
RyderCupContentTags,OBJECT,
RyderCupContentCategories,OBJECT,
ContentTopics,OBJECT,
BroadcastFullTelecast,OBJECT,
LiveStatus,ENUM,
BroadcastNetwork,OBJECT,
WatchLanding,OBJECT,
WatchLandingSection,OBJECT,
VideoPillType,ENUM,
VideoPillConfig,UNION,
VideoFilterPillConfig,OBJECT,
Franchise,OBJECT,
FranchisePillConfig,OBJECT,
TournamentsPillConfig,OBJECT,
TopicStoriesPillConfig,OBJECT,
VideoNavigation,OBJECT,
VideoPill,OBJECT,
LiveOverride,ENUM,
ContentFragmentTabs,OBJECT,
ContentFragmentTab,OBJECT,
ContentType,ENUM,
ScatterData,OBJECT,
ScatterRound,OBJECT,
ScatterStroke,OBJECT,
ScatterCoord,OBJECT,
HoleScoreStatus,ENUM,
ScatterPlayer,OBJECT,
ScatterShotData,OBJECT,
ScatterShotCoordData,OBJECT,
ScattterXYData,OBJECT,
Float,SCALAR,Built-in Float
SignatureStandings,OBJECT,
SignatureStandingsTournamentInfo,OBJECT,
TournamentStatus,ENUM,
RoundStatus,ENUM,
RoundStatusColor,ENUM,
SignatureStandingsData,OBJECT,
SignaturePlayerRow,UNION,
SignaturePlayer,OBJECT,
LeaderboardMovement,ENUM,
SignatureInfoLine,OBJECT,
TourCategories,OBJECT,
Category,OBJECT,
NewsFranchise,OBJECT,
Episode,OBJECT,
Audio,OBJECT,
StreamUrls,OBJECT,
LeaderboardV2,OBJECT,
LeaderboardRowV2,UNION,
PlayerRowV2,OBJECT,
Player,OBJECT,
PlayerAsset,UNION,
TourBoundAsset,OBJECT,
OddsSwing,ENUM,
PlayerState,ENUM,
CupRankMovementDirection,ENUM,
InformationRow,OBJECT,
FormatType,ENUM,
InformationSection,OBJECT,
SponsorImage,OBJECT,
InformationSectionItem,UNION,
Abbreviations,OBJECT,
Legend,OBJECT,
Icon,ENUM,
Winner,OBJECT,
WinnerIcon,OBJECT,
WinnerIconType,ENUM,
Course,OBJECT,
ScoringLevel,ENUM,
LeaderboardMessage,OBJECT,
LeaderboardMessageIcon,ENUM,
Platform,ENUM,
LBRound,OBJECT,
LeaderboardFeature,ENUM,
FeatureItem,OBJECT,
FieldStatType,ENUM,
FeatureSponsor,OBJECT,
LeaderboardV3,OBJECT,
LeaderboardRowV3,UNION,
PlayerRowV3,OBJECT,
LeaderboardScoringDataV3,OBJECT,
LeaderboardStrokes,OBJECT,
LeaderboardStroke,OBJECT,
LeaderboardStrokesCompressed,OBJECT,
LeaderboardStats,OBJECT,
LeaderboardStatsType,ENUM,
LeaderboardStatsPlayer,OBJECT,
LeaderboardStatItem,OBJECT,
LeaderboardStatSupportValues,UNION,
LeaderboardOddsSwing,OBJECT,
LeaderboardSupportingString,OBJECT,
LeaderboardRoundStats,OBJECT,
HistoricalLeaderboard,OBJECT,
HistoricalLeaderboardRow,OBJECT,
HistoricalRoundScore,OBJECT,
HistoricalLeaderboardTeamRow,OBJECT,
StatYearPills,OBJECT,
WeatherNotes,OBJECT,
DayWeather,OBJECT,
TournamentResultsMessage,OBJECT,
LeaderboardCompressedV2,OBJECT,
LeaderboardCompressedV3,OBJECT,  Returns the leaderboard for a tournament where payload contains the leaderboard data in Base64 encoding.
TSPLeaderboard,OBJECT,
TSPLeaderboardRow,UNION,
TspTeamRow,OBJECT,
TspPlayer,OBJECT,
TSPLeaderboardRound,OBJECT,
TspWinner,OBJECT,
TspWinningPlayer,OBJECT,
TspPlayoff,OBJECT,
PlayoffHole,OBJECT,
PlayoffTeams,OBJECT,
TspSCPlayer,OBJECT,
SimpleScore,OBJECT,
LeaderboardCompressed,OBJECT,
TSPScorecard,OBJECT,
RoundFormat,ENUM,
TeamPlayScoreCardRow,OBJECT,
TeamPlayHole,OBJECT,
TspPlayerHole,OBJECT,
TspTeamHole,OBJECT,
TSPScorecardRounds,OBJECT,
TSPTeeTimes,OBJECT,
TSPTeeTimeRound,OBJECT,
TSPTeeTimeGroup,OBJECT,
TSPTeeTimeTeam,OBJECT,
TSPTeeTimePlayer,OBJECT,
TSPTeeTimeHeaders,OBJECT,
RoundFilter,OBJECT,
CourseFilter,OBJECT,
TeeTimesCompressed,OBJECT,
MPLeaderboard,OBJECT,
MPLeaderboardRound,OBJECT,
MPLeaderboardBracket,OBJECT,
MPLeaderboardMatch,OBJECT,
MPLeaderboardPlayer,OBJECT,
MatchStatus,ENUM,
UpcomingMatch,OBJECT,
UpcomingMatchPotentialPlayer,OBJECT,
MPScorecard,OBJECT,
MatchHole,OBJECT,
MPHolePlayer,OBJECT,
MatchHoleScore,OBJECT,
HolePlayedStatus,ENUM,
MPScorecardPlayer,OBJECT,
Message,OBJECT,
MPPlayoffScorecard,OBJECT,
Playoff,OBJECT,
PlayoffPlayer,OBJECT,
MPTeeTimes,OBJECT,
TeeTimeHeader,OBJECT,
MPRoundTeeTimes,OBJECT,
MPMatchTeeTimes,OBJECT,
MPTeeTimePlayer,OBJECT,
MPScorecardResults,OBJECT,
MPScorecardResultsPlayer,OBJECT,
PreviousRounds,OBJECT,
PreviousMatch,OBJECT,
PreviousMatchOpponent,OBJECT,
GroupStageRankings,OBJECT,
GroupStageHeader,OBJECT,
HeaderType,ENUM,
GroupStageGroup,OBJECT,
GroupStagePlayer,OBJECT,
PlayerRecord,OBJECT,
PreviousMatches,OBJECT,
Schedule,OBJECT,
ScheduleMonth,OBJECT,
ScheduleTournament,OBJECT,
ScheduleChampion,OBJECT,
ScheduleTournamentStatus,OBJECT,
ScheduleDisplay,ENUM,
TournamentCategoryInfo,OBJECT,
TournamentCategory,ENUM,
ScheduleTournamentFilter,OBJECT,
ScheduleUpcoming,OBJECT,
LeaderboardDrawerV2,OBJECT,
RoundScore,OBJECT,
ScorecardRow,OBJECT,
HoleScore,OBJECT,
ScorecardCompressedV3,OBJECT,
ScorecardV3,OBJECT,
PlayerScorecardStats,OBJECT,
PlayerScorecardRoundStats,OBJECT,
StrokesGainedStats,OBJECT,
ScorecardStatsItem,OBJECT,
PlayerScorecardStatsCompressed,OBJECT,
HistoricalPlayerScorecards,OBJECT,
HistoricalScorecardTour,OBJECT,
HistoricalScorecardYear,OBJECT,
StatTournamentPill,OBJECT,
PlayoffScorecard,OBJECT,
ScorecardHeaderPlayer,OBJECT,
ShotDetails,OBJECT,
ShotDetailsDisplayType,ENUM,
ShotDetailHole,OBJECT,
StrokeCoordinates,OBJECT,
PointOfInterestCoords,OBJECT,
HoleStroke,OBJECT,
HoleStrokeType,ENUM,
ShotLinkCoordWrapper,OBJECT,
ShotLinkCoordinates,OBJECT,
TspStrokePlayer,OBJECT,
RadarData,OBJECT,
RadarBallTracjectory,OBJECT,
RadarNormalizedTrajectory,OBJECT,
RadarNormalizedTrajectoryV2,OBJECT,
HolePickle,OBJECT,
HolePickleType,ENUM,
ShotDetailsCompressed,OBJECT,
ShotDetailsCompressedV3,OBJECT,
GroupShotDetails,OBJECT,
GroupShotDetailsPlayer,OBJECT,
GroupShotDetailsHole,OBJECT,
GroupShotDetailsStroke,OBJECT,
GroupShotDetailsStrokePlayer,OBJECT,
GroupShotDetailsCompressed,OBJECT,
TeamShotDetails,OBJECT,
GroupShotDetailsTeam,OBJECT,
TeamShotDetailsCompressed,OBJECT,
TeeTimes,OBJECT,
TeeTimeRound,OBJECT,
Group,OBJECT,
TeeTimesV2,OBJECT,
TeeTimeRoundV2,OBJECT,
GroupV2,OBJECT,
TeeTimesFeature,ENUM,
Tournament,OBJECT,
TournamentFeature,ENUM,
Event,OBJECT,
TournamentWeather,OBJECT,
WeatherCondition,ENUM,
WindDirection,ENUM,
TournamentRightRailConfig,OBJECT,
Field,OBJECT,
PlayerField,OBJECT,
PlayerFieldTeammate,OBJECT,
GroupedField,OBJECT,
PlayerGroup,OBJECT,
FieldGroup,OBJECT,
FieldStats,OBJECT,
FieldStatPlayer,UNION,
FieldStatCurrentForm,OBJECT,
FieldStatTournamentResult,OBJECT,
FieldStatStrokesGained,OBJECT,
StatColor,ENUM,
FieldStatCourseFit,OBJECT,
FieldStatCourseFitStat,OBJECT,
SeasonDisplayHeader,OBJECT,
VideoLanguage,ENUM,
PlayerBioWrapper,OBJECT,
PlayerBio,OBJECT,
PlayerBioLocation,OBJECT,
PlayerBioSocial,OBJECT,
SocialType,ENUM,
PlayerBioExemption,OBJECT,
BioRank,OBJECT,
AudioStream,OBJECT,
PlayerDirectory,OBJECT,
PlayerDirectoryPlayer,OBJECT,
PlayerDirectoryBio,OBJECT,
BroadcastCoverage,OBJECT,
BroadcastCoverageType,UNION,
BroadcastAudioStream,OBJECT,
BroadcastFeaturedGroup,OBJECT,
BroadcastGroup,OBJECT,
BroadcastFeaturedHole,OBJECT,
BroadcastCoverageCarousel,OBJECT,
