YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (YARDS),TOTAL DISTANCE (INCHES),NUMBER OF APPROACH SHOTS
2013,1,0,28455,Will Claxton,157.9,3699919000.0,651
2013,2,0,25345,Carl Pettersson,158.0,4101203000.0,721
2013,3,0,25336,Alistair Presnell,158.1,2981760000.0,524
2013,4,0,24399,Scott Gardiner,158.3,3281726000.0,576
2013,5,0,27503,Steve LeBrun,158.7,3405863000.0,596
2013,6,0,23497,Tag Ridings,158.9,3855761000.0,674
2013,7,0,23621,Rory Sabbatini,159.2,4425830000.0,772
2013,8,0,27120,Troy Matteson,159.3,4009757000.0,699
2013,9,0,8725,Tom Gillis,159.4,4029322000.0,702
2013,9,0,30692,Scott Stallings,159.4,4195054000.0,731
2013,11,0,33461,Morgan Hoffmann,159.6,3320433000.0,578
2013,12,0,27644,Brian Harman,159.7,4990058000.0,868
2013,12,0,31202,William McGirt,159.7,4698476000.0,817
2013,12,0,20572,Rod Pampling,159.7,2247515000.0,391
2013,15,0,34360,Patrick Reed,159.8,4768015000.0,829
2013,16,0,28500,Martin Flores,160.0,5027500000.0,873
2013,16,0,34261,Scott Langley,160.0,4378590000.0,760
2013,18,0,30750,Tommy Gainey,160.1,4652565000.0,807
2013,18,0,1724,Jeff Maggert,160.1,3815666000.0,662
2013,20,0,23788,D.J. Trahan,160.3,2510910000.0,435
2013,21,0,28679,Fabián Gómez,160.4,3677503000.0,637
2013,22,0,23452,Nicolas Colsaerts,160.5,2362824000.0,409
2013,22,0,21878,Mark Wilson,160.5,3530250000.0,611
2013,24,0,28310,Lee Williams,160.6,3531810000.0,611
2013,25,0,32448,James Hahn,160.7,4258193000.0,736
2013,25,0,20691,Greg Owen,160.7,4216176000.0,729
2013,25,0,22295,Darron Stiles,160.7,2846249000.0,492
2013,28,0,25274,Steven Bowditch,160.8,3768217000.0,651
2013,28,0,30925,Dustin Johnson,160.8,3201581000.0,553
2013,28,0,27129,Luke List,160.8,3189804000.0,551
2013,28,0,23325,Vaughn Taylor,160.8,2506791000.0,433
2013,32,0,19846,Brian Gay,160.9,4742804000.0,819
2013,32,0,23353,J.J. Henry,160.9,5126617000.0,885
2013,32,0,31557,Jim Herman,160.9,2907754000.0,502
2013,32,0,30852,Ryo Ishikawa,160.9,3608513000.0,623
2013,36,0,23409,James Driscoll,161.0,4038662000.0,697
2013,36,0,33869,Eric Meierdierks,161.0,2358465000.0,407
2013,36,0,27649,Brandt Snedeker,161.0,3686676000.0,636
2013,39,0,32366,Kevin Chappell,161.1,4367620000.0,753
2013,39,0,29425,Andrew Svoboda,161.1,2383742000.0,411
2013,39,0,2206,David Toms,161.1,2197434000.0,379
2013,42,0,32698,Bobby Gates,161.2,2640304000.0,455
2013,42,0,21731,Freddie Jacobson,161.2,3110473000.0,536
2013,42,0,6567,Vijay Singh,161.2,3399755000.0,586
2013,42,0,28780,Nicholas Thompson,161.2,5611507000.0,967
2013,46,0,25686,Jason Dufner,161.3,4063919000.0,700
2013,47,0,23135,Tim Clark,161.4,2940944000.0,506
2013,47,0,25562,Andres Romero,161.4,3294237000.0,567
2013,47,0,25804,Bubba Watson,161.4,3852773000.0,663
2013,50,0,32334,Charlie Beljan,161.5,3493699000.0,601
2013,50,0,34098,Russell Henley,161.5,4330185000.0,745
2013,52,0,25834,Daniel Summerhays,161.6,5108504000.0,878
2013,53,0,24227,Justin Bolli,161.7,3027047000.0,520
2013,53,0,34021,Bud Cauley,161.7,3579331000.0,615
2013,53,0,32102,Rickie Fowler,161.7,3894051000.0,669
2013,53,0,34409,David Lingmerth,161.7,3609567000.0,620
2013,53,0,24138,Ian Poulter,161.7,2718068000.0,467
2013,58,0,20098,Stuart Appleby,161.8,5509023000.0,946
2013,58,0,24507,Jason Bohn,161.8,4200259000.0,721
2013,58,0,1116,Michael Bradley,161.8,2883091000.0,495
2013,58,0,20766,Padraig Harrington,161.8,2312959000.0,397
2013,58,0,27408,Martin Kaymer,161.8,2800990000.0,481
2013,58,0,25572,Graeme McDowell,161.8,2575106000.0,442
2013,58,0,29289,S.Y. Noh,161.8,3996552000.0,686
2013,58,0,30163,Henrik Norlander,161.8,3862206000.0,663
2013,66,0,31560,Brian Stuard,161.9,4417253000.0,758
2013,67,0,12782,Tim Herron,162.0,2869953000.0,492
2013,68,0,29479,Scott Brown,162.1,3735919000.0,640
2013,68,0,19970,Robert Karlsson,162.1,2497593000.0,428
2013,68,0,26596,Ryan Moore,162.1,3799137000.0,651
2013,71,0,28259,Sangmoon Bae,162.2,4367140000.0,748
2013,71,0,6522,Ernie Els,162.2,3276193000.0,561
2013,71,0,12716,Charley Hoffman,162.2,4596113000.0,787
2013,74,0,28089,Jason Day,162.3,4131136000.0,707
2013,74,0,22792,Peter Hanson,162.3,2161816000.0,370
2013,74,0,29420,Billy Horschel,162.3,5303785000.0,908
2013,74,0,26476,Chez Reavie,162.3,4579862000.0,784
2013,78,0,20443,Jin Park,162.4,2952989000.0,505
2013,78,0,27556,Ted Potter Jr.,162.4,3694584000.0,632
2013,78,0,33418,Shawn Stefani,162.4,3379672000.0,578
2013,81,0,22621,Ben Curtis,162.5,3107126000.0,531
2013,81,0,34431,Robert Streb,162.5,4164159000.0,712
2013,81,0,33419,Cameron Tringale,162.5,5119870000.0,875
2013,81,0,25632,Jimmy Walker,162.5,4995805000.0,854
2013,85,0,32200,Roberto Castro,162.6,5713557000.0,976
2013,85,0,37273,Derek Ernst,162.6,3195994000.0,546
2013,85,0,30926,Chris Kirk,162.6,5398482000.0,922
2013,85,0,22056,Cameron Percy,162.6,3910757000.0,668
2013,89,0,10860,Justin Leonard,162.7,5036188000.0,860
2013,90,0,24357,K.J. Choi,162.8,4435318000.0,757
2013,90,0,21753,Brian Davis,162.8,5375240000.0,917
2013,90,0,28135,Aaron Watkins,162.8,2280089000.0,389
2013,93,0,22378,Trevor Immelman,162.9,4434467000.0,756
2013,93,0,24140,Sean O'Hair,162.9,3337240000.0,569
2013,93,0,26679,Kevin Stadler,162.9,4549688000.0,776
2013,93,0,27770,Camilo Villegas,162.9,4158644000.0,709
2013,93,0,26497,Casey Wittenberg,162.9,4274377000.0,729
2013,98,0,35539,Luke Guthrie,163.0,4272831000.0,728
2013,98,0,23108,Matt Kuchar,163.0,4728374000.0,806
2013,98,0,30110,Kyle Stanley,163.0,3997197000.0,681
2013,101,0,34099,Harris English,163.1,5296252000.0,902
2013,101,0,23320,Ryan Palmer,163.1,4467897000.0,761
2013,103,0,27895,Jonas Blixt,163.2,4640087000.0,790
2013,103,0,35139,Richard Lee,163.2,5088189000.0,866
2013,103,0,22913,John Rollins,163.2,4589291000.0,781
2013,106,0,23541,Ben Crane,163.3,3851717000.0,655
2013,106,0,30711,Colt Knost,163.3,3897845000.0,663
2013,106,0,21099,David Lynn,163.3,3880403000.0,660
2013,106,0,22961,David Mathis,163.3,4051553000.0,689
2013,106,0,24490,George McNeill,163.3,4322059000.0,735
2013,106,0,26289,Boo Weekley,163.3,5507280000.0,937
2013,112,0,10885,Robert Allenby,163.4,3418239000.0,581
2013,112,0,22371,Aaron Baddeley,163.4,3758986000.0,639
2013,112,0,1320,Bob Estes,163.4,4436590000.0,754
2013,112,0,29740,Brad Fritsch,163.4,4435939000.0,754
2013,116,0,10809,Jim Furyk,163.5,4443761000.0,755
2013,116,0,26758,David Hearn,163.5,4802848000.0,816
2013,116,0,8075,Jerry Kelly,163.5,4520827000.0,768
2013,116,0,25818,Scott Piercy,163.5,3979279000.0,676
2013,116,0,29518,Brendan Steele,163.5,5219682000.0,887
2013,116,0,20160,Charlie Wi,163.5,4272025000.0,726
2013,122,0,23638,Brendon de Jonge,163.6,6759409000.0,1148
2013,122,0,20104,Ken Duke,163.6,5011636000.0,851
2013,122,0,36884,Ben Kohles,163.6,4216889000.0,716
2013,122,0,6527,Steve Stricker,163.6,2355631000.0,400
2013,122,0,27095,Nick Watney,163.6,4894499000.0,831
2013,127,0,24024,Zach Johnson,163.7,4543532000.0,771
2013,127,0,28092,D.H. Lee,163.7,3902013000.0,662
2013,127,0,22046,Geoff Ogilvy,163.7,2769863000.0,470
2013,130,0,6004,Stephen Ames,163.8,2942452000.0,499
2013,130,0,24846,Ricky Barnes,163.8,4510495000.0,765
2013,130,0,21961,Charles Howell III,163.8,5512837000.0,935
2013,133,0,27933,John Merrick,163.9,4650847000.0,788
2013,134,0,28475,Jeff Overton,164.0,5065747000.0,858
2013,135,0,27330,Josh Teater,164.1,3934139000.0,666
2013,136,0,25444,Justin Hicks,164.2,4332399000.0,733
2013,136,0,22806,Doug LaBelle II,164.2,3990972000.0,675
2013,136,0,29221,Webb Simpson,164.2,4715912000.0,798
2013,139,0,24494,Erik Compton,164.3,4525243000.0,765
2013,139,0,23623,Bo Van Pelt,164.3,3637297000.0,615
2013,141,0,27936,Martin Laird,164.4,3520994000.0,595
2013,141,0,20645,John Senden,164.4,4202632000.0,710
2013,141,0,31323,Gary Woodland,164.4,5414847000.0,915
2013,144,0,24924,Bill Haas,164.6,4943182000.0,834
2013,144,0,30944,Jason Kokrak,164.6,4739210000.0,800
2013,144,0,27214,Kevin Streelman,164.6,4746583000.0,801
2013,147,0,24781,Hunter Mahan,164.7,4661079000.0,786
2013,147,0,24361,Pat Perez,164.7,4281367000.0,722
2013,149,0,12510,Chad Campbell,164.8,4972925000.0,838
2013,149,0,27436,Graham DeLaet,164.8,5551632000.0,936
2013,151,0,23800,Bryce Molder,164.9,4803838000.0,809
2013,151,0,34046,Jordan Spieth,164.9,4421733000.0,745
2013,153,0,33141,Keegan Bradley,165.0,4899487000.0,825
2013,154,0,20593,Greg Chalmers,165.2,4699285000.0,790
2013,154,0,20229,Stewart Cink,165.2,3771623000.0,634
2013,154,0,6573,Brandt Jobe,165.2,3616317000.0,608
2013,157,0,28237,Rory McIlroy,165.3,2588172000.0,435
2013,157,0,10423,Mike Weir,165.3,3136382000.0,527
2013,159,0,24663,Y.E. Yang,165.4,2751297000.0,462
2013,160,0,28307,Matt Every,165.5,5188544000.0,871
2013,160,0,26300,Matt Jones,165.5,4824608000.0,810
2013,160,0,26951,Johnson Wagner,165.5,3646554000.0,612
2013,163,0,20848,Ángel Cabrera,165.6,3767568000.0,632
2013,164,0,22405,Justin Rose,165.7,3124889000.0,524
2013,164,0,20396,Lee Westwood,165.7,3508098000.0,588
2013,166,0,25900,Lucas Glover,165.8,3479781000.0,583
2013,167,0,23983,Luke Donald,166.0,3119398000.0,522
2013,167,0,27963,Chris Stroud,166.0,5443968000.0,911
2013,169,0,34174,John Huh,166.1,5172684000.0,865
2013,169,0,1810,Phil Mickelson,166.1,3665277000.0,613
2013,171,0,25240,D.A. Points,166.2,4510409000.0,754
2013,172,0,32150,Michael Thompson,166.3,3705714000.0,619
2013,173,0,26851,Marc Leishman,167.1,4420333000.0,735
2013,174,0,26331,Charl Schwartzel,167.2,3545712000.0,589
2013,175,0,10213,Dicky Pride,167.3,4137956000.0,687
2013,176,0,21209,Sergio Garcia,167.4,3272521000.0,543
2013,177,0,24502,Adam Scott,167.7,3030667000.0,502
2013,178,0,24358,Robert Garrigus,168.0,3241981000.0,536
2013,179,0,21528,Henrik Stenson,169.3,3102726000.0,509
2013,180,0,8793,Tiger Woods,172.1,2911177000.0,470
2014,1,0,30925,Dustin Johnson,154.6,2498418000.0,449
2014,2,0,32334,Charlie Beljan,157.5,4174303000.0,736
2014,3,0,35300,Andrew Loupe,159.2,2996712000.0,523
2014,4,0,19846,Brian Gay,159.6,4247061000.0,739
2014,4,0,28132,Tyrone Van Aswegen,159.6,4223852000.0,735
2014,6,0,12716,Charley Hoffman,159.8,4917458000.0,855
2014,7,0,34431,Robert Streb,160.0,4089469000.0,710
2014,8,0,26329,Louis Oosthuizen,160.1,1838554000.0,319
2014,8,0,34360,Patrick Reed,160.1,4917617000.0,853
2014,10,0,25900,Lucas Glover,160.3,3005950000.0,521
2014,11,0,32640,Troy Merritt,160.5,3633257000.0,629
2014,11,0,32333,Kevin Tway,160.5,3125700000.0,541
2014,13,0,30750,Tommy Gainey,160.7,3749084000.0,648
2014,13,0,35732,Wes Roach,160.7,3112962000.0,538
2014,15,0,26956,Bronson La'Cassie,160.8,2448534000.0,423
2014,16,0,21961,Charles Howell III,160.9,6360162000.0,1098
2014,16,0,29478,Kevin Kisner,160.9,4598906000.0,794
2014,18,0,20157,Retief Goosen,161.1,5353877000.0,923
2014,18,0,23623,Bo Van Pelt,161.1,4574507000.0,789
2014,20,0,29535,Brice Garnett,161.2,5234361000.0,902
2014,20,0,31193,Jim Renner,161.2,3162851000.0,545
2014,20,0,32150,Michael Thompson,161.2,3841281000.0,662
2014,20,0,2206,David Toms,161.2,3702419000.0,638
2014,20,0,26289,Boo Weekley,161.2,3831080000.0,660
2014,25,0,27330,Josh Teater,161.4,5171483000.0,890
2014,26,0,27895,Jonas Blixt,161.5,2843306000.0,489
