YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
2013,1,0,24502,Adam Scott,9.48,379.33,-165.12,283.74
2013,2,0,28089,Jason Day,4.64,204.29,-107.69,184.91
2013,3,0,26331,Charl Schwartzel,4.45,231.27,-147.93,124.93
2013,4,0,6522,Ernie Els,4.41,229.44,-119.58,126.66
2013,5,0,26329,Louis Oosthuizen,4.18,217.13,-173.09,70.0
2013,6,0,32839,Hideki Matsuyama,3.67,146.92,-27.99,123.23
2013,7,0,29974,Branden Grace,3.01,156.36,-91.8,82.6
2013,8,0,27436,Graham DeLaet,2.99,146.39,-24.39,130.49
2013,9,0,24459,Richard Sterne,2.91,128.04,-32.01,115.35
2013,10,0,20848,Ángel Cabrera,2.41,113.23,-27.02,110.78
2013,11,0,24511,Thongchai Jaidee,2.26,117.35,-53.19,77.31
2013,12,0,26851,Marc Leishman,2.18,113.11,-52.17,77.97
2013,13,0,23135,Tim Clark,2.17,89.08,-37.37,61.46
2013,14,0,23638,Brendon de Jonge,2.01,104.74,-54.9,70.21
2013,15,0,23797,Brett Rumford,1.9,98.96,-27.46,83.25
2013,16,0,28937,George Coetzee,1.87,97.2,-76.25,53.37
2013,17,0,30978,Kiradech Aphibarnrat,1.82,94.53,-36.22,81.0
2013,18,0,22046,Geoff Ogilvy,1.7,83.23,-71.11,49.65
2013,19,0,24083,Marcus Fraser,1.68,87.42,-64.52,41.43
2013,20,0,20645,John Senden,1.64,85.29,-96.39,38.7
2013,21,0,21284,Hiroyuki Fujita,1.64,85.12,-71.91,15.6
2013,22,0,24357,K.J. Choi,1.53,79.7,-92.01,54.18
2013,23,0,23725,Brendan Jones,1.53,68.77,-42.61,25.24
2013,24,0,28259,Sangmoon Bae,1.52,79.01,-80.14,64.06
2013,25,0,26300,Matt Jones,1.49,74.35,-14.66,71.34
2013,26,0,24457,Jaco Van Zyl,1.46,74.6,-45.94,59.37
2013,27,0,37092,Hyung-Sung Kim,1.41,73.25,-33.35,38.99
2013,28,0,34130,Sung Joon Park,1.35,53.87,-7.1,51.19
2013,29,0,26758,David Hearn,1.32,68.88,-27.36,55.96
2013,30,0,24461,Thomas Aiken,1.32,68.49,-47.79,43.84
2013,31,0,20721,Darren Fichardt,1.3,67.5,-30.46,50.5
2013,32,0,23621,Rory Sabbatini,1.26,65.57,-44.07,47.65
2013,33,0,22110,Thaworn Wiratchant,1.21,62.88,-50.16,9.42
2013,34,0,30852,Ryo Ishikawa,1.19,61.68,-70.64,24.28
2013,35,0,23783,Felipe Aguilar,1.18,61.41,-32.14,55.59
2013,36,0,28697,Gaganjeet Bhullar,1.17,50.17,-31.37,13.74
2013,37,0,20593,Greg Chalmers,1.14,59.36,-69.78,33.53
2013,38,0,28258,K.T. Kim,1.1,56.97,-68.98,18.48
2013,39,0,23802,Brad Kennedy,1.09,52.41,-31.92,32.27
2013,40,0,20160,Charlie Wi,1.08,56.39,-46.78,25.94
2013,41,0,25562,Andres Romero,1.08,53.08,-38.82,31.58
2013,42,0,24748,WC Liang,1.05,54.48,-21.81,30.36
2013,43,0,29833,Yoshinori Fujimoto,1.05,41.9,-23.99,13.16
2013,44,0,6567,Vijay Singh,1.03,51.3,-56.32,17.42
2013,45,0,21498,Hideto Tanihara,1.02,50.97,-24.24,25.7
2013,46,0,22371,Aaron Baddeley,1.02,52.91,-66.65,31.16
2013,47,0,31420,Anirban Lahiri,1.0,40.0,-20.54,25.69
2013,48,0,20935,Toru Taniguchi,0.97,49.59,-51.88,12.35
2013,49,0,29930,Mike Hendry,0.97,38.77,-15.11,27.19
2013,50,0,29289,S.Y. Noh,0.97,50.4,-48.81,18.94
2013,51,0,22080,Prayad Marksaeng,0.95,49.51,-26.0,40.8
2013,52,0,34554,Jung-gon Hwang,0.95,49.19,-27.8,20.19
2013,53,0,20686,Jeev Milkha Singh,0.93,48.17,-47.49,13.43
2013,54,0,32791,K.H. Lee,0.93,37.93,-20.64,17.05
2013,55,0,27302,Garth Mulroy,0.92,47.93,-36.86,28.32
2013,56,0,27118,Toshinori Muto,0.89,46.38,-45.52,12.57
2013,57,0,22378,Trevor Immelman,0.89,46.04,-32.0,34.56
2013,58,0,20157,Retief Goosen,0.89,35.41,-47.54,13.52
2013,59,0,28111,Jake Roos,0.86,37.82,-14.02,23.11
2013,60,0,26908,Yuta Ikeda,0.86,44.66,-44.73,8.21
2013,61,0,20218,Shingo Katayama,0.85,43.46,-31.23,22.86
2013,62,0,33227,Hyun-woo Ryu,0.84,41.33,-21.16,17.11
2013,63,0,27929,Shiv Kapur,0.84,43.75,-20.91,29.74
