YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
2013,62,0,25345,Carl Pettersson,33.33,44,132,-0.05
2013,63,0,23621,Rory Sabbatini,33.13,53,160,-0.21
2013,64,0,26679,Kevin Stadler,33.12,51,154,-0.43
2013,65,0,34098,Russell Henley,33.09,45,136,-0.36
2013,66,0,21209,Sergio Garcia,32.98,31,94,-0.42
2013,67,0,22913,John Rollins,32.88,48,146,-0.29
2013,68,0,23788,D.J. Trahan,32.61,30,92,-0.43
2013,69,0,26851,Marc Leishman,32.31,42,130,-0.29
2013,70,0,24399,Scott Gardiner,32.2,38,118,-0.32
2013,71,0,27770,Camilo Villegas,32.19,47,146,-0.30
2013,72,0,27408,Martin Kaymer,32.14,27,84,-0.33
2013,73,0,24781,Hunter Mahan,31.69,45,142,-0.27
2013,74,0,28780,Nicholas Thompson,31.58,60,190,-0.20
2013,75,0,1810,Phil Mickelson,31.45,39,124,-0.33
2013,76,0,20396,Lee Westwood,31.13,33,106,-0.21
2013,77,0,24924,Bill Haas,30.56,44,144,-0.27
2013,78,0,24846,Ricky Barnes,30.0,42,140,-0.29
2013,79,0,30852,Ryo Ishikawa,29.84,37,124,-0.11
2013,80,0,20766,Padraig Harrington,29.73,22,74,-0.09
2013,80,0,34046,Jordan Spieth,29.73,44,148,-0.48
2013,80,0,27214,Kevin Streelman,29.73,44,148,-0.18
2013,83,0,20645,John Senden,29.69,38,128,-0.39
2013,84,0,12510,Chad Campbell,29.61,45,152,-0.29
2013,85,0,30926,Chris Kirk,29.41,50,170,-0.34
2013,86,0,30750,Tommy Gainey,29.38,47,160,-0.15
2013,87,0,28679,Fabián Gómez,28.46,37,130,-0.43
2013,88,0,26289,Boo Weekley,28.33,51,180,-0.33
2013,89,0,21731,Freddie Jacobson,28.13,27,96,-0.22
2013,90,0,28307,Matt Every,27.01,47,174,-0.28
2013,91,0,8725,Tom Gillis,26.92,35,130,-0.11
2013,92,0,23638,Brendon de Jonge,26.42,56,212,-0.36
2013,93,0,34021,Bud Cauley,26.27,31,118,-0.35
2013,94,0,29479,Scott Brown,26.23,32,122,-0.34
2013,95,0,29425,Andrew Svoboda,26.19,22,84,-0.50
2013,96,0,28259,Sangmoon Bae,25.95,41,158,-0.34
2013,97,0,25834,Daniel Summerhays,25.9,43,166,-0.35
2013,98,0,26596,Ryan Moore,25.44,29,114,-0.24
2013,99,0,6522,Ernie Els,25.0,24,96,-0.08
2013,100,0,6567,Vijay Singh,24.51,25,102,-0.32
2013,101,0,29518,Brendan Steele,23.75,38,160,-0.45
2013,102,0,23353,J.J. Henry,23.38,36,154,-0.31
2013,103,0,27644,Brian Harman,22.94,39,170,-0.15
2013,104,0,6527,Steve Stricker,22.86,16,70,-0.25
2013,105,0,19970,Robert Karlsson,22.83,21,92,-0.43
2013,105,0,23325,Vaughn Taylor,22.83,21,92,-0.19
2013,105,0,24663,Y.E. Yang,22.83,21,92,-0.24
2013,108,0,32102,Rickie Fowler,22.5,27,120,-0.26
2013,109,0,23409,James Driscoll,22.22,32,144,-0.34
2013,110,0,24490,George McNeill,22.06,30,136,-0.40
2013,111,0,23623,Bo Van Pelt,21.93,25,114,-0.36
2013,112,0,25336,Alistair Presnell,21.7,23,106,-0.17
2013,113,0,25686,Jason Dufner,21.31,26,122,-0.19
2013,114,0,1116,Michael Bradley,21.15,22,104,-0.05
2013,115,0,34409,David Lingmerth,20.97,26,124,-0.19
2013,116,0,20098,Stuart Appleby,20.83,35,168,-0.23
2013,117,0,25240,D.A. Points,20.67,31,150,-0.42
2013,118,0,10885,Robert Allenby,20.54,23,112,-0.09
2013,119,0,29221,Webb Simpson,20.27,30,148,E
2013,120,0,26476,Chez Reavie,20.14,29,144,-0.34
2013,121,0,27933,John Merrick,19.86,29,146,-0.69
2013,122,0,27895,Jonas Blixt,19.85,27,136,-0.04
2013,123,0,27649,Brandt Snedeker,19.84,25,126,-0.04
2013,124,0,6004,Stephen Ames,19.39,19,98,-0.32
2013,125,0,1320,Bob Estes,18.94,25,132,-0.24
2013,126,0,32200,Roberto Castro,18.82,35,186,-0.49
2013,127,0,34174,John Huh,18.42,28,152,-0.29
2013,128,0,33419,Cameron Tringale,18.13,29,160,-0.34
2013,129,0,24138,Ian Poulter,17.95,14,78,-0.21
2013,130,0,20572,Rod Pampling,17.86,15,84,-0.47
2013,131,0,35539,Luke Guthrie,17.57,26,148,-0.27
2013,132,0,28455,Will Claxton,17.46,22,126,-0.36
2013,133,0,22046,Geoff Ogilvy,17.02,16,94,-0.25
2013,134,0,26951,Johnson Wagner,16.96,19,112,E
2013,135,0,23108,Matt Kuchar,16.9,24,142,-0.54
2013,136,0,22378,Trevor Immelman,16.15,21,130,-0.10
2013,137,0,31202,William McGirt,16.0,24,150,-0.33
2013,138,0,24024,Zach Johnson,15.94,22,138,-0.27
2013,139,0,26758,David Hearn,15.63,25,160,-0.32
2013,140,0,12782,Tim Herron,15.56,14,90,-0.29
2013,141,0,23541,Ben Crane,15.52,18,116,-0.39
2013,142,0,32150,Michael Thompson,14.81,16,108,-0.44
2013,143,0,26497,Casey Wittenberg,14.71,20,136,-0.25
2013,144,0,23983,Luke Donald,14.13,13,92,-0.15
2013,145,0,34261,Scott Langley,14.08,20,142,-0.35
2013,145,0,20160,Charlie Wi,14.08,20,142,-0.30
2013,147,0,27556,Ted Potter Jr.,14.04,16,114,-0.44
2013,148,0,20593,Greg Chalmers,13.7,20,146,-0.15
2013,149,0,24227,Justin Bolli,13.64,15,110,+0.13
2013,150,0,25572,Graeme McDowell,13.51,10,74,-0.20
2013,151,0,21753,Brian Davis,13.48,24,178,-0.33
2013,152,0,21878,Mark Wilson,13.46,14,104,-0.21
2013,153,0,28092,D.H. Lee,13.08,17,130,-0.71
2013,154,0,20104,Ken Duke,12.03,19,158,-0.37
2013,155,0,22961,David Mathis,11.94,16,134,-0.19
2013,156,0,25444,Justin Hicks,11.64,17,146,-0.41
2013,157,0,36884,Ben Kohles,11.27,16,142,+0.06
2013,158,0,22295,Darron Stiles,11.22,11,98,-0.18
2013,159,0,31560,Brian Stuard,11.11,16,144,-0.25
2013,160,0,35139,Richard Lee,11.04,17,154,-0.53
2013,161,0,24357,K.J. Choi,11.03,15,136,+0.07
2013,162,0,19846,Brian Gay,10.96,16,146,-0.25
2013,163,0,28310,Lee Williams,10.83,13,120,-0.23
2013,164,0,22806,Doug LaBelle II,10.29,14,136,-0.43
2013,164,0,2206,David Toms,10.29,7,68,E
2013,166,0,21099,David Lynn,10.17,12,118,-0.42
2013,167,0,23800,Bryce Molder,9.38,15,160,-0.13
2013,168,0,27963,Chris Stroud,8.72,15,172,-0.13
2013,169,0,23135,Tim Clark,8.51,8,94,-0.38
2013,169,0,22621,Ben Curtis,8.51,8,94,-0.25
2013,171,0,20443,Jin Park,8.0,8,100,-0.50
2013,172,0,1724,Jeff Maggert,7.94,10,126,-0.50
2013,173,0,10860,Justin Leonard,7.93,13,164,-0.46
2013,174,0,8075,Jerry Kelly,7.75,11,142,-0.36
2013,175,0,24507,Jason Bohn,7.14,10,140,+0.10
2013,176,0,10809,Jim Furyk,6.82,9,132,-0.22
2013,176,0,28135,Aaron Watkins,6.82,6,88,-0.50
2013,178,0,10213,Dicky Pride,6.72,9,134,-0.11
2013,179,0,10423,Mike Weir,3.85,4,104,+0.25
2013,180,0,30711,Colt Knost,3.08,4,130,-0.50
2014,1,0,25804,Bubba Watson,77.19,88,114,-0.34
2014,2,0,27141,J.B. Holmes,68.75,110,160,-0.24
2014,3,0,30925,Dustin Johnson,68.6,59,86,-0.32
2014,4,0,35300,Andrew Loupe,64.75,79,122,-0.23
2014,5,0,27064,Jhonattan Vegas,64.67,97,150,-0.25
2014,6,0,28237,Rory McIlroy,64.58,62,96,-0.15
2014,7,0,32334,Charlie Beljan,62.5,90,144,-0.28
2014,7,0,28089,Jason Day,62.5,45,72,-0.09
2014,7,0,31323,Gary Woodland,62.5,95,152,-0.16
2014,10,0,36689,Brooks Koepka,61.46,59,96,-0.31
2014,11,0,24358,Robert Garrigus,61.25,98,160,-0.23
2014,12,0,27436,Graham DeLaet,60.0,78,130,-0.18
2014,13,0,21961,Charles Howell III,58.33,119,204,-0.22
2014,14,0,25900,Lucas Glover,58.04,65,112,-0.22
2014,15,0,23320,Ryan Palmer,58.0,87,150,-0.30
2014,16,0,24502,Adam Scott,57.14,64,112,-0.22
2014,17,0,30944,Jason Kokrak,56.92,74,130,-0.27
2014,18,0,29461,Jamie Lovemark,55.0,66,120,-0.36
2014,19,0,20848,Ángel Cabrera,54.92,67,122,-0.27
2014,20,0,34431,Robert Streb,53.52,76,142,-0.21
2014,21,0,25632,Jimmy Walker,53.29,81,152,-0.28
2014,22,0,34099,Harris English,53.13,85,160,-0.36
2014,23,0,12716,Charley Hoffman,51.76,88,170,-0.34
2014,24,0,26329,Louis Oosthuizen,51.67,31,60,-0.19
2014,25,0,29518,Brendan Steele,51.27,81,158,-0.28
2014,26,0,22405,Justin Rose,50.96,53,104,-0.15
2014,27,0,30692,Scott Stallings,50.74,69,136,-0.23
2014,28,0,34264,Hudson Swafford,50.72,70,138,-0.29
2014,29,0,33141,Keegan Bradley,50.0,70,140,-0.26
2014,29,0,24140,Sean O'Hair,50.0,77,154,-0.16
2014,31,0,25274,Steven Bowditch,48.88,87,178,-0.22
2014,32,0,34265,Will Wilcox,47.96,47,98,-0.40
2014,33,0,27936,Martin Laird,47.41,55,116,-0.38
2014,34,0,26331,Charl Schwartzel,47.22,51,108,-0.22
2014,35,0,37273,Derek Ernst,47.14,66,140,-0.17
2014,35,0,26851,Marc Leishman,47.14,66,140,-0.29
2014,37,0,27095,Nick Watney,46.61,55,118,-0.13
2014,38,0,28500,Martin Flores,45.68,74,162,-0.28
2014,39,0,30110,Kyle Stanley,45.57,72,158,-0.15
2014,40,0,32102,Rickie Fowler,45.38,59,130,-0.27
2014,41,0,29289,S.Y. Noh,44.32,78,176,-0.36
2014,42,0,30852,Ryo Ishikawa,44.2,61,138,-0.34
2014,43,0,32366,Kevin Chappell,44.02,81,184,-0.30
2014,44,0,27408,Martin Kaymer,43.75,42,96,-0.14
2014,45,0,27120,Troy Matteson,43.1,50,116,-0.22
2014,45,0,33418,Shawn Stefani,43.1,50,116,-0.18
2014,47,0,26300,Matt Jones,42.96,61,142,-0.25
2014,48,0,25345,Carl Pettersson,42.86,78,182,-0.42
2014,49,0,33461,Morgan Hoffmann,42.42,84,198,-0.17
2014,50,0,32839,Hideki Matsuyama,42.31,55,130,-0.31
2014,51,0,31557,Jim Herman,41.38,48,116,-0.23
2014,52,0,32333,Kevin Tway,41.07,46,112,-0.15
2014,53,0,22371,Aaron Baddeley,40.63,52,128,-0.19
2014,54,0,34360,Patrick Reed,39.74,62,156,-0.31
2014,55,0,25562,Andres Romero,39.61,61,154,-0.21
2014,56,0,28486,Michael Putnam,39.22,80,204,-0.34
2014,57,0,27770,Camilo Villegas,39.01,71,182,-0.08
2014,58,0,1706,Davis Love III,38.89,56,144,-0.04
2014,59,0,29740,Brad Fritsch,38.54,37,96,-0.16
2014,60,0,34098,Russell Henley,37.82,59,156,-0.14
2014,61,0,20229,Stewart Cink,37.33,56,150,-0.34
2014,62,0,26679,Kevin Stadler,36.99,54,146,-0.15
2014,63,0,24781,Hunter Mahan,36.67,55,150,-0.20
2014,64,0,35732,Wes Roach,36.51,46,126,-0.09
2014,65,0,23621,Rory Sabbatini,36.49,54,148,-0.30
2014,66,0,24924,Bill Haas,35.88,61,170,-0.21
2014,67,0,34021,Bud Cauley,35.71,40,112,-0.18
2014,68,0,21209,Sergio Garcia,35.0,28,80,-0.25
2014,69,0,30750,Tommy Gainey,34.78,48,138,-0.29
2014,70,0,22046,Geoff Ogilvy,34.62,54,156,-0.19
2014,71,0,29420,Billy Horschel,34.03,49,144,-0.27
2014,72,0,28132,Tyrone Van Aswegen,33.97,53,156,-0.25
2014,73,0,1810,Phil Mickelson,33.96,36,106,-0.11
2014,74,0,23623,Bo Van Pelt,33.8,48,142,-0.27
2014,75,0,30926,Chris Kirk,33.52,59,176,-0.20
2014,76,0,27330,Josh Teater,33.33,56,168,-0.16
2014,77,0,25364,Paul Casey,32.95,29,88,-0.10
2014,78,0,20157,Retief Goosen,32.93,54,164,-0.20
2014,79,0,29221,Webb Simpson,32.89,50,152,-0.02
2014,80,0,23353,J.J. Henry,32.76,57,174,-0.28
2014,81,0,6522,Ernie Els,32.54,41,126,-0.17
2014,82,0,27214,Kevin Streelman,32.5,39,120,+0.05
2014,83,0,24846,Ricky Barnes,32.39,57,176,-0.26
2014,84,0,33413,Ben Martin,32.24,49,152,-0.43
2014,85,0,22378,Trevor Immelman,32.05,50,156,-0.32
2014,86,0,34409,David Lingmerth,31.25,45,144,-0.20
2014,87,0,34563,Chesson Hadley,31.1,51,164,-0.18
2014,88,0,6567,Vijay Singh,30.38,48,158,-0.31
2014,89,0,32150,Michael Thompson,30.3,40,132,-0.28
2014,90,0,29478,Kevin Kisner,30.12,50,166,-0.30
2014,91,0,22913,John Rollins,29.61,45,152,-0.16
2014,92,0,24912,Will MacKenzie,29.27,48,164,-0.23
2014,93,0,21528,Henrik Stenson,28.95,22,76,-0.23
2014,94,0,32448,James Hahn,28.75,46,160,-0.26
2014,95,0,20645,John Senden,28.65,51,178,-0.31
2014,96,0,29535,Brice Garnett,28.41,50,176,-0.28
2014,96,0,20396,Lee Westwood,28.41,25,88,-0.16
2014,98,0,28259,Sangmoon Bae,27.14,38,140,-0.45
2014,98,0,25191,Gonzalo Fernandez-Castaño,27.14,38,140,-0.18
2014,100,0,27644,Brian Harman,26.64,57,214,-0.30
2014,101,0,34046,Jordan Spieth,26.22,43,164,-0.21
2014,102,0,25686,Jason Dufner,26.19,22,84,-0.23
2014,103,0,28475,Jeff Overton,25.69,37,144,-0.22
2014,104,0,24361,Pat Perez,25.6,43,168,-0.21
2014,105,0,32640,Troy Merritt,25.0,31,124,-0.29
2014,105,0,26289,Boo Weekley,25.0,28,112,-0.39
2014,107,0,29425,Andrew Svoboda,24.03,37,154,-0.16
2014,108,0,27933,John Merrick,24.0,36,150,+0.11
2014,109,0,35139,Richard Lee,23.65,35,148,-0.09
2014,110,0,10885,Robert Allenby,23.42,37,158,-0.35
2014,111,0,33122,Russell Knox,23.37,43,184,-0.19
2014,112,0,35541,John Peterson,23.33,28,120,-0.18
2014,113,0,24925,Jonathan Byrd,22.92,33,144,-0.33
2014,114,0,34174,John Huh,22.73,35,154,-0.31
2014,115,0,32200,Roberto Castro,22.66,29,128,-0.24
2014,116,0,28307,Matt Every,22.6,33,146,-0.18
2014,117,0,29479,Scott Brown,22.4,43,192,-0.14
2014,118,0,28780,Nicholas Thompson,22.08,34,154,-0.41
2014,119,0,27895,Jonas Blixt,21.74,20,92,-0.30
2014,120,0,12510,Chad Campbell,21.7,23,106,-0.30
2014,121,0,26951,Johnson Wagner,21.54,28,130,E
2014,122,0,26956,Bronson La'Cassie,21.28,20,94,-0.30
2014,123,0,26596,Ryan Moore,21.21,28,132,-0.21
2014,124,0,23409,James Driscoll,21.13,30,142,-0.10
2014,125,0,35539,Luke Guthrie,21.08,35,166,-0.40
2014,126,0,31193,Jim Renner,21.05,24,114,-0.21
2014,127,0,24663,Y.E. Yang,20.83,30,144,-0.13
2014,128,0,21731,Freddie Jacobson,20.79,37,178,-0.19
2014,129,0,24490,George McNeill,20.78,32,154,-0.13
2014,130,0,23638,Brendon de Jonge,20.53,39,190,-0.21
2014,131,0,23108,Matt Kuchar,19.74,30,152,-0.33
2014,132,0,25240,D.A. Points,19.3,22,114,-0.05
2014,133,0,27649,Brandt Snedeker,19.01,27,142,-0.11
2014,134,0,24494,Erik Compton,18.9,31,164,-0.32
2014,135,0,25444,Justin Hicks,18.69,37,198,-0.27
2014,136,0,34261,Scott Langley,18.54,33,178,-0.30
2014,137,0,31560,Brian Stuard,18.24,31,170,-0.16
2014,138,0,23800,Bryce Molder,18.12,25,138,-0.44
2014,139,0,33419,Cameron Tringale,17.62,37,210,-0.22
2014,140,0,20593,Greg Chalmers,16.67,27,162,-0.37
2014,140,0,24138,Ian Poulter,16.67,14,84,E
2014,142,0,25834,Daniel Summerhays,16.49,31,188,-0.19
2014,143,0,25349,Tim Wilkinson,16.46,27,164,-0.19
2014,144,0,20498,Briny Baird,16.0,16,100,-0.25
2014,145,0,20160,Charlie Wi,15.71,22,140,-0.27
2014,146,0,29926,Danny Lee,15.63,25,160,-0.08
2014,147,0,27556,Ted Potter Jr.,15.44,21,136,-0.14
2014,148,0,27963,Chris Stroud,15.24,25,164,-0.20
2014,149,0,31202,William McGirt,14.58,28,192,-0.18
2014,150,0,24024,Zach Johnson,14.53,25,172,-0.20
2014,151,0,7867,Woody Austin,14.41,17,118,-0.12
2014,152,0,24357,K.J. Choi,14.29,20,140,-0.30
2014,153,0,24507,Jason Bohn,14.2,23,162,-0.30
2014,154,0,25396,Kevin Na,13.95,24,172,-0.25
2014,155,0,27466,Spencer Levin,13.56,16,118,-0.25
2014,156,0,30927,Brendon Todd,13.5,27,200,-0.07
2014,157,0,29222,Billy Hurley III,12.82,20,156,-0.20
2014,158,0,20098,Stuart Appleby,12.78,23,180,-0.13
2014,159,0,22621,Ben Curtis,12.68,18,142,-0.44
2014,160,0,21753,Brian Davis,12.36,22,178,-0.41
2014,161,0,23541,Ben Crane,12.35,20,162,-0.20
2014,162,0,21878,Mark Wilson,11.9,15,126,-0.13
2014,163,0,1724,Jeff Maggert,11.54,12,104,+0.08
2014,164,0,23983,Luke Donald,11.36,10,88,-0.40
2014,165,0,26758,David Hearn,11.24,20,178,-0.30
2014,166,0,28092,D.H. Lee,11.0,11,100,-0.18
2014,167,0,8075,Jerry Kelly,10.53,16,152,E
2014,168,0,10809,Jim Furyk,10.29,14,136,-0.21
2014,169,0,25572,Graeme McDowell,9.38,9,96,-0.11
2014,170,0,2206,David Toms,9.17,11,120,-0.73
2014,171,0,23135,Tim Clark,8.7,12,138,+0.08
2014,172,0,25720,Chad Collins,8.33,12,144,+0.17
2014,173,0,22293,Heath Slocum,7.97,11,138,+0.09
2014,174,0,20104,Ken Duke,7.14,10,140,-0.20
2014,175,0,10860,Justin Leonard,6.52,9,138,-0.33
2014,176,0,19846,Brian Gay,4.23,6,142,+0.17
2014,177,0,10423,Mike Weir,4.1,5,122,-0.20
2022,1,0,52372,Cameron Champ,84.82,95,112,-0.23
2022,2,0,28237,Rory McIlroy,82.5,99,120,-0.26
2022,3,0,57366,Cameron Young,79.27,130,164,-0.28
2022,4,0,46550,Brandon Hagy,78.38,116,148,-0.20
2022,5,0,46970,Jon Rahm,77.14,108,140,-0.26
2022,6,0,47483,Will Zalatoris,76.39,110,144,-0.27
2022,7,0,27129,Luke List,76.32,116,152,-0.25
2022,8,0,40250,Taylor Pendrith,75.35,107,142,-0.37
2022,9,0,46601,Trey Mullinax,74.39,122,164,-0.27
2022,10,0,34255,Joseph Bramlett,74.07,120,162,-0.18
2022,11,0,56278,Matthew Wolff,73.4,69,94,-0.14
2022,12,0,27064,Jhonattan Vegas,73.29,107,146,-0.24
2022,13,0,51766,Wyndham Clark,73.12,136,186,-0.21
2022,14,0,24502,Adam Scott,72.92,105,144,-0.19
2022,15,0,33448,Justin Thomas,72.37,110,152,-0.22
2022,16,0,48699,Callum Tarren,69.57,96,138,-0.25
2022,16,0,31323,Gary Woodland,69.57,96,138,-0.25
2022,18,0,45540,Jared Wolfe,69.49,82,118,-0.15
2022,19,0,39546,Keith Mitchell,69.19,119,172,-0.21
2022,20,0,47504,Sam Burns,68.75,110,160,-0.22
2022,21,0,12716,Charley Hoffman,68.46,89,130,-0.30
2022,22,0,45157,Cam Davis,68.29,112,164,-0.23
2022,23,0,48117,Kurt Kitayama,67.14,94,140,-0.17
2022,24,0,46046,Scottie Scheffler,66.67,112,168,-0.24
2022,24,0,29518,Brendan Steele,66.67,92,138,-0.24
2022,26,0,47856,Seth Reeves,66.42,89,134,-0.15
2022,27,0,32333,Kevin Tway,66.23,102,154,-0.18
2022,28,0,37212,Paul Barjon,66.2,94,142,-0.23
2022,29,0,33141,Keegan Bradley,65.79,100,152,-0.25
2022,29,0,45486,Joaquin Niemann,65.79,100,152,-0.07
2022,31,0,29725,Tony Finau,65.7,113,172,-0.28
2022,32,0,10381,Curtis Thompson,65.63,84,128,-0.27
2022,33,0,36689,Brooks Koepka,65.22,60,92,-0.12
2022,34,0,49964,Aaron Wise,65.12,112,172,-0.25
2022,35,0,36699,Patrick Rodgers,64.71,110,170,-0.33
2022,36,0,33204,Shane Lowry,64.66,75,116,-0.21
2022,37,0,32366,Kevin Chappell,64.55,71,110,-0.25
2022,38,0,35461,Beau Hossler,64.29,90,140,-0.13
2022,38,0,46717,Viktor Hovland,64.29,90,140,-0.17
2022,40,0,35450,Patrick Cantlay,63.97,87,136,-0.26
2022,41,0,39058,Lucas Herbert,63.89,69,108,-0.12
2022,42,0,47995,Davis Riley,63.83,120,188,-0.23
2022,43,0,46340,Alex Smalley,62.9,117,186,-0.26
2022,44,0,34046,Jordan Spieth,62.84,93,148,-0.23
2022,45,0,32102,Rickie Fowler,62.69,84,134,-0.10
2022,46,0,34264,Hudson Swafford,62.5,80,128,-0.35
2022,47,0,47988,Nick Hardy,61.86,73,118,-0.25
2022,48,0,48081,Xander Schauffele,61.76,84,136,-0.24
2022,49,0,37189,Harold Varner III,61.59,85,138,-0.21
2022,50,0,31646,Emiliano Grillo,60.63,97,160,-0.24
2022,51,0,46442,Maverick McNealy,60.12,101,168,-0.22
2022,52,0,32757,Patton Kizzire,60.0,108,180,-0.24
2022,53,0,47347,Adam Schenk,59.88,103,172,-0.13
2022,54,0,30944,Jason Kokrak,59.84,73,122,-0.29
2022,55,0,20229,Stewart Cink,59.74,92,154,-0.13
2022,56,0,32839,Hideki Matsuyama,59.56,81,136,-0.27
2022,57,0,39977,Max Homa,59.15,97,164,-0.26
2022,58,0,29970,Dylan Frittelli,59.14,110,186,-0.25
2022,59,0,26851,Marc Leishman,59.03,85,144,-0.05
2022,60,0,26300,Matt Jones,58.77,67,114,-0.34
2022,61,0,23320,Ryan Palmer,58.73,74,126,-0.16
2022,62,0,34363,Tyrrell Hatton,58.59,75,128,-0.12
2022,63,0,46402,Talor Gooch,58.45,83,142,-0.33
2022,64,0,51634,Sahith Theegala,58.41,132,226,-0.32
2022,65,0,35617,Martin Trainer,58.33,91,156,-0.19
2022,66,0,50095,Austin Smotherman,57.79,89,154,-0.33
2022,67,0,47529,Mito Pereira,57.3,102,178,-0.19
2022,68,0,39971,Sungjae Im,56.82,100,176,-0.23
2022,69,0,40098,Matt Fitzpatrick,56.43,79,140,-0.28
2022,70,0,32448,James Hahn,55.97,75,134,-0.17
2022,71,0,51894,Vince Whaley,55.88,95,170,-0.27
2022,72,0,54421,Garrick Higgo,55.56,60,108,-0.23
2022,72,0,21961,Charles Howell III,55.56,60,108,-0.33
2022,74,0,33667,Carlos Ortiz,55.08,65,118,-0.20
2022,75,0,30911,Tommy Fleetwood,54.81,57,104,-0.26
2022,75,0,48887,Matt Wallace,54.81,57,104,-0.18
2022,77,0,27095,Nick Watney,54.61,83,152,-0.14
2022,78,0,27139,David Skinns,54.55,72,132,-0.18
2022,79,0,48822,Sebastián Muñoz,54.43,86,158,-0.26
2022,80,0,32662,Michael Gligic,54.23,77,142,-0.14
2022,81,0,34431,Robert Streb,53.8,85,158,-0.28
2022,82,0,50525,Collin Morikawa,53.57,60,112,-0.07
2022,83,0,49947,Taylor Moore,52.98,89,168,-0.18
2022,84,0,39997,Corey Conners,52.87,92,174,-0.33
2022,85,0,49960,Sepp Straka,52.66,99,188,-0.11
2022,86,0,30692,Scott Stallings,52.6,101,192,-0.20
