RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S
68,0,25818,Scott Piercy,872,1,2,4917
69,0,26329,Louis Oosthuizen,847,0,3,4942
70,0,40026,Daniel Berger,839,0,1,4950
71,0,26596,Ryan Moore,806,0,5,4983
72,0,37454,Whee Kim,805,0,3,4984
73,0,20229,Stewart Cink,775,0,3,5014
74,0,27095,Nick Watney,760,0,1,5029
75,0,25632,Jimmy Walker,741,0,4,5048
76,0,23108,Matt Kuchar,740,0,4,5049
77,0,27214,Kevin Streelman,724,0,5,5065
78,0,29268,Bronson Burgoon,718,0,2,5071
79,0,12716,Charley Hoffman,689,0,5100
80,0,34076,Joel Dahmen,676,0,3,5113
81,0,39975,Michael Kim,675,1,1,5114
82,0,27141,J.B. Holmes,668,0,3,5121
83,0,32366,Kevin Chappell,667,0,4,5122
84,0,32448,James Hahn,666,0,1,5123
85,0,29461,Jamie Lovemark,664,0,3,5125
86,0,31560,Brian Stuard,654,0,3,5135
87,0,32333,Kevin Tway,643,0,3,5146
88,0,29974,Branden Grace,634,0,2,5155
89,0,33122,Russell Knox,629,0,3,5160
90,0,35879,Kelly Kraft,627,0,3,5162
91,0,32640,Troy Merritt,616,1,3,5173
92,0,35532,Tom Hoge,608,0,3,5181
93,0,30692,Scott Stallings,608,0,2,5181
94,0,32816,Satoshi Kodaira,600,1,1,5189
95,0,27064,Jhonattan Vegas,598,0,1,5191
96,0,34098,Russell Henley,589,0,3,5200
97,0,29926,Danny Lee,587,0,3,5202
98,0,46501,Ollie Schniederjans,573,0,3,5216
99,0,31420,Anirban Lahiri,566,0,4,5223
100,0,25686,Jason Dufner,557,0,2,5232
101,0,37275,Sam Ryder,551,0,3,5238
102,0,46601,Trey Mullinax,550,0,3,5239
103,0,35421,Brandon Harkins,545,0,3,5244
104,0,36699,Patrick Rodgers,541,0,3,5248
105,0,26331,Charl Schwartzel,528,0,3,5261
106,0,24140,Sean O'Hair,526,0,2,5263
107,0,37189,Harold Varner III,524,0,3,5265
108,0,20472,Alex Cejka,524,0,2,5265
109,0,23621,Rory Sabbatini,521,0,1,5268
110,0,47128,Richy Werenski,498,0,2,5291
111,0,27974,Sung Kang,490,0,2,5299
112,0,34174,John Huh,480,0,2,5309
113,0,45609,Tyler Duncan,457,0,2,5332
114,0,28252,Seamus Power,455,0,2,5334
115,0,27936,Martin Laird,453,0,3,5336
116,0,31202,William McGirt,449,0,3,5340
117,0,49771,J.T. Poston,448,0,2,5341
118,0,23325,Vaughn Taylor,445,0,3,5344
119,0,34213,Grayson Murray,438,0,2,5351
120,0,29223,Sam Saunders,437,0,4,5352
121,0,27958,Ryan Blaum,433,0,2,5356
122,0,29479,Scott Brown,422,0,2,5367
123,0,25493,Nick Taylor,420,0,2,5369
124,0,34021,Bud Cauley,405,0,2,5384
125,0,34099,Harris English,383,0,2,5406
126,0,32876,Martin Piller,371,0,2,5418
127,0,28132,Tyrone Van Aswegen,364,0,1,5425
128,0,21209,Sergio Garcia,362,0,3,5427
129,0,12510,Chad Campbell,361,0,2,5428
130,0,39997,Corey Conners,353,0,1,5436
131,0,24358,Robert Garrigus,353,0,1,5436
132,0,22371,Aaron Baddeley,342,0,1,5447
133,0,26951,Johnson Wagner,338,0,5451
134,0,50526,Tom Lovelady,332,0,2,5457
135,0,25900,Lucas Glover,324,0,1,5465
136,0,39327,Ben Silverman,323,0,2,5466
137,0,31416,Derek Fathauer,316,0,1,5473
138,0,26758,David Hearn,315,0,2,5474
139,0,46402,Talor Gooch,308,0,5481
140,0,33204,Shane Lowry,296,0,5493
141,0,10809,Jim Furyk,291,0,2,5498
142,0,32150,Michael Thompson,280,0,5509
143,0,34409,David Lingmerth,274,0,5515
144,0,25572,Graeme McDowell,274,0,1,5515
145,0,06527,Steve Stricker,274,0,5515
146,0,37278,Nicholas Lindheim,272,0,1,5517
147,0,33418,Shawn Stefani,268,0,1,5521
148,0,23541,Ben Crane,267,0,1,5522
149,0,47993,Denny McCarthy,267,0,1,5522
150,0,33413,Ben Martin,266,0,1,5523
